Region,Crops Impacted
Mamprugu Moagduri,4.64
Builsa South,2.83
East Gonja,1.66
Tamale North Sub Metro,1.42
Savelugu Nanton,1.27
Chereponi,0.95
West Mamprusi,0.57
Kumbumgu,0.5
Sissala East,0.44
Tolon,0.43
Kwahu Afram Plains North,0.42
Karaga,0.37
Sissala  West,0.3
Saboba,0.3
Nanumba North,0.27
Pru,0.26
Gonja Central,0.26
Nkwanta South,0.22
Kasena Nankana East,0.2
Kasena Nankana East,0.2
Kasena Nankana East,0.2
Nkwanta North,0.19
Bongo,0.19
Sagnerigu,0.15
Krachi West,0.14
North Gonja,0.13
Tatale,0.13
Krachi East,0.12
Kpandai,0.12
Binduri,0.12
Asuogyaman,0.11
Nanumba South,0.11
Talensi,0.11
Bolgatanga Municipal,0.09
Nabdam,0.09
South Dayi,0.08
Wa East,0.08
Gushiegu,0.08
Sene East,0.07
Kwahu Afram Plains South,0.07
Zabzugu,0.07
Mion,0.06
Mion,0.06
Nzema East,0.05
Bawku West,0.05
Builsa North,0.05
Ada West,0.05
Shama,0.04
Bunkpurugu Yonyo,0.04
Ada East,0.04
Gomoa West,0.04
Prestea / Huni Valley,0.03
Kwahu South,0.03
Kwahu South,0.03
Upper Manya,0.03
Kwahu South,0.03
Krachi Nchumuru,0.02
Denkyembour,0.02
Kasena Nankana West,0.02
Kasena Nankana West,0.02
Effutu,0.02
Tarkwa Nsuaem,0.01
Wassa East,0.01
Jomoro,0.01
Wassa Amenfi West,0.01
Kintampo North,0.01
Ketu South,0.01
Keta Municipal,0.01
Biakoye,0.01
Jirapa,0.01
Nandom,0.01
Daffiama Bussie,0.01
Mamprusi East,0.01
West Gonja,0.01
Fanteakwa,0.01
Kwahu East,0.01
Ga South,0.01
Ningo Prampram,0.01
Ajumako / Enyan / Esiam,0.01
Awutu Senya West,0.01
Mfantsiman,0.01
Ekumfi,0.01
Gomoa East,0.01
Twifo Lower Denkyira,0.01
Awutu Senya West,0.01
Sefwi Bibiani / Anhwiaso Bekwai,0
Sefwi-Wiawso,0
Juabeso,0
Bia East,0
Suaman,0
Bia West,0
Bodi,0
Aowin,0
Sefwi Akontombra,0
Wassa Amenfi Central,0
Ahanta West,0
Wassa Amenfi East,0
Sekondi Takoradi,0
Ellembelle,0
Mpohor,0
Sene West,0
Kintampo South,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Atebubu Amantin,0
Techiman North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
South Tongu,0
Central Tongu,0
Ho West,0
Kpando Municipal,0
Afadzato South,0
Akatsi North,0
Ketu North,0
Hohoe Municipal,0
North Dayi,0
North Tongu,0
Akatsi South,0
Adaklu,0
Asunafo North,0
Asunafo South,0
Asutifi South,0
Asutifi North,0
Tano South,0
Tano North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Nadowli / Kaleo,0
Lawra,0
Lambussie Karni,0
Wa West,0
Wa Municipal,0
Sawla / Tuna / Kalba,0
Bole,0
Kwaebibirem,0
Yilo Krobo,0
Akwapem North,0
Upper West Akim,0
Birim Municipal,0
Lower Manya,0
Ayensuano,0
East Akim,0
Birim South,0
West Akim,0
Atiwa,0
Nsawam Adoagyiri,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
New Juaben Municipal,0
Birim North,0
Kwahu West,0
Yendi Municipal,0
Asokore Mampong Municipal,0
Kwabre,0
Bosome Freho,0
Asante Akim South,0
Asante Akim North,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Bosome Freho,0
Asante Akim Central Municipal,0
Sekyere East,0
Offinso North,0
Ejisu Juaben,0
Adansi North,0
Amansie Central,0
Obuasi Municipal,0
Sekyere Central,0
Sekyere Afram Plains North,0
Amansie West,0
Ahafo Ano North,0
Kma,0
Bosomtwe / Atwima / Kwanwoma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Ejura Sekye Dumase,0
Adansi South,0
Atwima Mponua,0
Atwima Nwabiagya,0
Bekwai Municipal,0
Afigya Kwabre,0
Pusiga,0
Bawku Municipal,0
Garu Tempane,0
Ledzokuku / Krowor,0
Adenta,0
Kpone Katamanso,0
Tema Metropolis,0
La Nkwantanang Madina,0
Shai Osu Doku,0
Accra Metropolis,0
Ga Central Municipal,0
Ga West,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Twifo Ati-Morkwa,0
Abura / Asebu / Kwamankese,0
Agona West,0
Komenda Edna Eguafo / Abirem,0
Cape Coast Metro,0
Asikuma / Odoben / Brakwa,0
Upper Denkyira East,0
Assin North,0
Agona East,0
Upper Denkyira West,0
Awutu Senya East Municipal,0
Banda,0
Sunyani West,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Sunyani Municipal,0
Tain,0
