Region,Flooded Area Impacted
East Gonja,165.56
Gonja Central,144.65
Kwahu Afram Plains North,131.42
Kwahu Afram Plains South,113.68
Sene East,110.34
Krachi East,110.34
Saboba,74.6
Kpandai,73.99
Pru,72.84
West Mamprusi,59.47
Savelugu Nanton,54.14
Nanumba North,53.02
Chereponi,52.95
Kumbumgu,51.43
Krachi West,49.94
Krachi Nchumuru,42.97
Nkwanta North,42.89
Nanumba South,42.09
Sene West,40.99
Asante Akim North,26.93
Karaga,26.71
Mamprugu Moagduri,26.34
Biakoye,20.34
Upper Manya,18.34
Kintampo North,16.99
Kwahu South,16.32
Kwahu South,16.32
Kwahu South,16.32
Keta Municipal,15.92
Ada East,14.9
Ada West,14.7
North Gonja,12.88
Ketu South,12.25
Nkwanta South,12.12
Tolon,11.87
Amansie West,11.57
Fanteakwa,11.26
Bole,11.03
Zabzugu,9.14
Kpando Municipal,9.13
Ningo Prampram,8.79
Asuogyaman,7.84
South Dayi,7.77
North Dayi,7.54
Ga South,6.86
Tatale,6.52
Yendi Municipal,5.98
Upper Denkyira West,5.51
Afadzato South,5.06
Mion,4.92
Mion,4.92
West Gonja,4.83
Banda,4.82
Wa West,4.54
Tarkwa Nsuaem,4.35
Aowin,3.84
Builsa South,3.76
Talensi,3.66
North Tongu,3.61
Lawra,3.33
Wa East,3.08
Wassa East,3.05
Prestea / Huni Valley,3.04
Atwima Mponua,2.99
South Tongu,2.87
Nandom,2.82
Nadowli / Kaleo,2.76
Sawla / Tuna / Kalba,2.4
Lower Manya,2.37
Shai Osu Doku,2.25
Kasena Nankana West,2.07
Kasena Nankana West,2.07
Jirapa,2.05
Birim North,2
Bawku West,1.93
Mamprusi East,1.89
Shama,1.83
Bunkpurugu Yonyo,1.83
Kasena Nankana East,1.65
Kasena Nankana East,1.65
Kasena Nankana East,1.65
Amansie Central,1.59
Nzema East,1.55
Central Tongu,1.48
Adansi South,1.48
Assin North,1.46
Jomoro,1.39
Wassa Amenfi West,1.39
Binduri,1.33
Sissala East,1.19
Ekumfi,1.19
Upper Denkyira East,1.11
Wassa Amenfi Central,1.04
Komenda Edna Eguafo / Abirem,1.02
Effutu,1
Sissala  West,0.98
Builsa North,0.87
Gomoa West,0.81
Ellembelle,0.77
Ketu North,0.76
Ga West,0.71
Obuasi Municipal,0.66
Wassa Amenfi East,0.63
Mfantsiman,0.62
Asutifi North,0.61
Wa Municipal,0.6
Atwima Nwabiagya,0.58
Juabeso,0.52
Tamale North Sub Metro,0.51
Kwahu East,0.49
Yilo Krobo,0.4
Garu Tempane,0.35
Lambussie Karni,0.31
Daffiama Bussie,0.29
Adansi North,0.29
Akatsi North,0.28
Asante Akim South,0.28
Gomoa East,0.26
Ahanta West,0.25
Twifo Ati-Morkwa,0.25
Sefwi Bibiani / Anhwiaso Bekwai,0.24
Sefwi Akontombra,0.22
Kpone Katamanso,0.22
Cape Coast Metro,0.21
Nsawam Adoagyiri,0.2
Gushiegu,0.18
Bia West,0.17
Sekyere Afram Plains North,0.17
Sekondi Takoradi,0.16
Bosome Freho,0.16
Bosome Freho,0.16
Accra Metropolis,0.16
Mpohor,0.15
Akatsi South,0.15
Atwima Kwanwoma,0.15
Agotime Ziope,0.14
Asunafo North,0.14
Awutu Senya West,0.14
Awutu Senya West,0.14
Bodi,0.13
Birim Municipal,0.13
Bekwai Municipal,0.13
Sefwi-Wiawso,0.12
Kwaebibirem,0.12
Bawku Municipal,0.12
Ho Municipal,0.11
Ho Municipal,0.11
Ho Municipal,0.11
Adaklu,0.11
West Akim,0.11
Asante Akim Central Municipal,0.11
Ga Central Municipal,0.11
Berekum,0.11
Bosomtwe / Atwima / Kwanwoma,0.1
Twifo Lower Denkyira,0.1
Sunyani West,0.1
Denkyembour,0.09
Ejisu Juaben,0.09
Birim South,0.08
Akyem Mansa,0.08
Bongo,0.08
Tain,0.08
Ahafo Ano South,0.07
Agona East,0.07
Afigya Kwabre,0.06
Ho West,0.05
Ho West,0.05
East Akim,0.05
La Nkwantanang Madina,0.05
Jaman South,0.05
Atebubu Amantin,0.04
Upper West Akim,0.04
Ledzokuku / Krowor,0.04
Suaman,0.03
Ayensuano,0.03
Kma,0.03
Sunyani Municipal,0.03
Bia East,0.02
Asunafo South,0.02
Suhum Municipal,0.02
Akwapem South,0.02
Mampong Municipal,0.02
Sekyere Central,0.02
Dormaa Municipal,0.02
Kintampo South,0.01
Techiman Municipal,0.01
Nkoranza South,0.01
Hohoe Municipal,0.01
Asutifi South,0.01
Tano South,0.01
Tano North,0.01
Kadjebi,0.01
Kadjebi,0.01
Akwapem North,0.01
Sagnerigu,0.01
Kwabre,0.01
Sekyere Kumawu,0.01
Sekyere East,0.01
Offinso North,0.01
Pusiga,0.01
Nabdam,0.01
Adenta,0.01
Tema Metropolis,0.01
La Dade Kotopon,0.01
Assin South,0.01
Abura / Asebu / Kwamankese,0.01
Asikuma / Odoben / Brakwa,0.01
Wenchi,0.01
Nkoranza North,0
Techiman North,0
Jasikan,0
Atiwa,0
New Juaben Municipal,0
Kwahu West,0
Asokore Mampong Municipal,0
Sekyere South,0
Ahafo Ano North,0
Offinso Municipal,0
Ejura Sekye Dumase,0
Bolgatanga Municipal,0
Ashaiman,0
Ga East,0
Ajumako / Enyan / Esiam,0
Agona West,0
Awutu Senya East Municipal,0
Dormaa West,0
Jaman North,0
Dormaa East,0
