Region,Roads Impacted
Chereponi,33430
Krachi Nchumuru,18106
Saboba,14582
Kumbumgu,9565
West Mamprusi,9019
Savelugu Nanton,8574
Kpandai,5777
East Gonja,3170
Sene East,1657
Nanumba North,1594
Gonja Central,1568
Agona West,1500
Kwahu Afram Plains North,1320
Mion,1186
Mion,1186
Wa Municipal,1090
Birim South,980
Karaga,970
Yendi Municipal,960
Krachi East,870
Ekumfi,840
Kwahu Afram Plains South,830
Ga South,820
Krachi West,810
Tolon,762
Upper Denkyira West,686
Sissala East,520
Gomoa West,480
Builsa South,390
Sunyani Municipal,390
Bunkpurugu Yonyo,330
North Gonja,303
Jomoro,300
Zabzugu,300
Nkwanta North,291
Kpando Municipal,260
Kwahu South,260
Kwahu South,260
Kwahu South,260
Banda,260
Pru,240
Lambussie Karni,220
Wa East,220
Atwima Nwabiagya,220
Bongo,210
Kasena Nankana East,200
Kasena Nankana East,200
Kasena Nankana East,200
Asikuma / Odoben / Brakwa,190
Bolgatanga Municipal,170
La Dade Kotopon,170
Lawra,163
West Gonja,160
Garu Tempane,160
Aowin,150
Ningo Prampram,150
Wassa Amenfi East,134
Birim North,120
Kasena Nankana West,120
Kasena Nankana West,120
Accra Metropolis,120
Nanumba South,119
Tatale,110
Nadowli / Kaleo,100
Kwahu West,100
Kma,100
Binduri,100
Assin South,90
Ajumako / Enyan / Esiam,90
Bia West,80
Ejisu Juaben,80
Kpone Katamanso,80
Tarkwa Nsuaem,70
Obuasi Municipal,70
Upper Manya,60
Asante Akim Central Municipal,60
Bawku West,60
Awutu Senya West,60
Awutu Senya West,60
Assin North,60
Agona East,60
North Dayi,50
West Akim,50
Fanteakwa,50
Tamale North Sub Metro,40
Kintampo North,37
Gomoa East,30
Prestea / Huni Valley,20
Biakoye,20
Dormaa Municipal,20
Ahafo Ano South,10
Builsa North,10
Ledzokuku / Krowor,10
Twifo Ati-Morkwa,10
Mamprugu Moagduri,1
Sefwi Bibiani / Anhwiaso Bekwai,0
Sefwi-Wiawso,0
Juabeso,0
Bia East,0
Suaman,0
Bodi,0
Sefwi Akontombra,0
Nzema East,0
Wassa Amenfi Central,0
Ahanta West,0
Wassa East,0
Sekondi Takoradi,0
Shama,0
Wassa Amenfi West,0
Ellembelle,0
Mpohor,0
Sene West,0
Kintampo South,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Atebubu Amantin,0
Techiman North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
South Tongu,0
Central Tongu,0
Ho West,0
Afadzato South,0
Akatsi North,0
Ketu South,0
Ketu North,0
Hohoe Municipal,0
Keta Municipal,0
South Dayi,0
North Tongu,0
Akatsi South,0
Adaklu,0
Asunafo North,0
Asunafo South,0
Asutifi South,0
Asutifi North,0
Tano South,0
Tano North,0
Kadjebi,0
Nkwanta South,0
Jasikan,0
Kadjebi,0
Jirapa,0
Nandom,0
Sissala  West,0
Wa West,0
Daffiama Bussie,0
Mamprusi East,0
Sawla / Tuna / Kalba,0
Bole,0
Denkyembour,0
Kwaebibirem,0
Yilo Krobo,0
Akwapem North,0
Upper West Akim,0
Birim Municipal,0
Lower Manya,0
Ayensuano,0
East Akim,0
Atiwa,0
Asuogyaman,0
Nsawam Adoagyiri,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
Kwahu East,0
New Juaben Municipal,0
Sagnerigu,0
Gushiegu,0
Asokore Mampong Municipal,0
Kwabre,0
Bosome Freho,0
Asante Akim South,0
Asante Akim North,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Bosome Freho,0
Sekyere East,0
Offinso North,0
Adansi North,0
Amansie Central,0
Sekyere Central,0
Sekyere Afram Plains North,0
Amansie West,0
Ahafo Ano North,0
Bosomtwe / Atwima / Kwanwoma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ejura Sekye Dumase,0
Adansi South,0
Atwima Mponua,0
Bekwai Municipal,0
Afigya Kwabre,0
Pusiga,0
Bawku Municipal,0
Talensi,0
Nabdam,0
Adenta,0
Tema Metropolis,0
La Nkwantanang Madina,0
Shai Osu Doku,0
Ada West,0
Ga Central Municipal,0
Ada East,0
Ga West,0
Ashaiman,0
Ga East,0
Abura / Asebu / Kwamankese,0
Komenda Edna Eguafo / Abirem,0
Cape Coast Metro,0
Mfantsiman,0
Effutu,0
Twifo Lower Denkyira,0
Upper Denkyira East,0
Awutu Senya East Municipal,0
Sunyani West,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Tain,0
