Region,Avg Impact Per Year - People,Avg Impact Per Year - Crops,Avg Impact Per Year - Crops Scaled,FRI,FRI_z_score,Treatment
Ga South,81.64466666666667,0.07238333333333333,0.007238333333333333,81.651905,8.798204504930432,1
Gonja Central,68.57883333333334,0.16496333333333332,0.01649633333333333,68.59532966666667,7.35807860786505,1
East Gonja,55.17483333333333,1.1878266666666668,0.11878266666666668,55.293616,5.890914222284573,1
Komenda Edna Eguafo / Abirem,42.764666666666656,4.666666666666667e-05,4.666666666666667e-06,42.764671333333325,4.508985407360067,1
Accra Metropolis,30.7445,2.5e-05,2.5e-06,30.7445025,3.1831740072000425,1
Ada West,23.73733333333333,0.7252149999999998,0.07252149999999999,23.80985483333333,2.418289997662368,1
Keta Municipal,15.89366666666667,0.048948333333333344,0.004894833333333334,15.898561500000003,1.5456830453992325,1
Ketu South,11.931,0.3352716666666667,0.03352716666666667,11.964527166666667,1.1117633858608162,1
Sene East,7.945,0.20413166666666666,0.020413166666666666,7.965413166666667,0.6706655106765428,1
Krachi Nchumuru,5.783333333333332,0.17301666666666668,0.017301666666666667,5.800634999999999,0.4318928601439563,1
Ada East,5.362333333333334,0.21442833333333336,0.021442833333333335,5.383776166666667,0.3859137893709982,1
Kwahu Afram Plains North,5.2775,0.3246416666666667,0.03246416666666667,5.309964166666666,0.3777724069640195,1
Jomoro,4.335,0.002358333333333333,0.00023583333333333328,4.335235833333333,0.27026094399616174,1
Ekumfi,4.066333333333334,0.052289999999999996,0.005228999999999999,4.0715623333333335,0.24117804698637405,1
Kpandai,3.8346666666666667,0.337525,0.033752500000000005,3.8684191666666665,0.21877157916003265,1
West Mamprusi,3.697666666666666,0.9496450000000001,0.09496450000000001,3.7926311666666663,0.2104122461266493,1
Kwahu Afram Plains South,3.7225,0.15013500000000002,0.015013500000000003,3.7375135,0.20433282812261602,1
Krachi East,3.1916666666666678,0.190995,0.0190995,3.2107661666666676,0.146233176676742,1
Krachi West,2.5555000000000003,0.10475666666666664,0.010475666666666664,2.565975666666667,0.07511349379473226,1
Shama,1.62,0.0012716666666666668,0.00012716666666666668,1.6201271666666668,-0.02921255532420566,1
Sene West,1.6,0.05950166666666666,0.005950166666666666,1.6059501666666667,-0.030776262829539967,1
South Dayi,1.5726666666666669,0.010135,0.0010135,1.5736801666666669,-0.034335608332618,1
Mfantsiman,1.3875000000000002,0.006725,0.0006725,1.3881725000000003,-0.05479689990796672,1
Central Tongu,1.3195000000000003,0.014745,0.0014745,1.3209745000000004,-0.06220876539032925,1
Nkwanta South,1.3119999999999998,0.01646333333333333,0.001646333333333333,1.3136463333333332,-0.06301705411269702,1
Kintampo North,1.1805,0.7201733333333332,0.07201733333333332,1.2525173333333335,-0.06975951557094486,1
Asuogyaman,1.1573333333333335,0.01659833333333333,0.001659833333333333,1.1589931666666669,-0.08007512827792108,1
Amansie West,1.147166666666667,0.008356666666666667,0.0008356666666666666,1.1480023333333336,-0.08128740510469766,1
Cape Coast Metro,0.8603333333333334,2.5e-05,2.5e-06,0.8603358333333334,-0.11301670362224352,1
South Tongu,0.8590000000000002,0.010973333333333337,0.0010973333333333336,0.8600973333333335,-0.11304300990989408,1
Twifo Ati-Morkwa,0.8125,0.0014966666666666668,0.00014966666666666668,0.8126496666666667,-0.11827643535090886,1
Upper Manya,0.76,0.05265166666666666,0.005265166666666666,0.7652651666666667,-0.12350289357807347,1
Wassa East,0.7200000000000001,0.011618333333333336,0.0011618333333333337,0.7211618333333334,-0.12836744273118014,1
