Region,Crops Impacted
West Mamprusi,18.9
Karaga,18.05
Bawku West,14.43
Binduri,12.25
Talensi,8.36
Saboba,7.9
Garu Tempane,5.79
Chereponi,4.18
Mamprugu Moagduri,4.07
Savelugu Nanton,3.29
Bunkpurugu Yonyo,2.64
Kasena Nankana East,2.53
Kasena Nankana East,2.53
Kasena Nankana East,2.53
Mamprusi East,1.04
East Gonja,0.91
Akatsi South,0.87
Kwahu Afram Plains South,0.8
Bawku Municipal,0.79
Kumbumgu,0.53
Fanteakwa,0.35
Sekyere Central,0.33
Tolon,0.32
Kintampo South,0.31
Gonja Central,0.31
Bole,0.29
Tamale North Sub Metro,0.25
Sissala East,0.21
North Gonja,0.21
Kwahu Afram Plains North,0.2
Builsa South,0.2
West Gonja,0.18
Kwahu South,0.17
Kwahu South,0.17
Kwahu South,0.17
Kwahu East,0.16
Krachi East,0.15
Upper Manya,0.13
Pru,0.12
Gushiegu,0.12
Akatsi North,0.09
Central Tongu,0.08
Nkoranza South,0.07
Mion,0.07
Mion,0.07
Bolgatanga Municipal,0.07
Atebubu Amantin,0.06
South Tongu,0.06
Biakoye,0.06
Mampong Municipal,0.06
Atwima Nwabiagya,0.06
Banda,0.06
Wenchi,0.06
North Tongu,0.05
Nanumba North,0.05
Offinso North,0.05
Kintampo North,0.04
Lambussie Karni,0.04
Asante Akim North,0.04
Sekyere Afram Plains North,0.04
Nzema East,0.03
Sene East,0.03
Ketu South,0.03
Ejura Sekye Dumase,0.03
Shai Osu Doku,0.03
North Dayi,0.02
Sissala  West,0.02
Lower Manya,0.02
Asuogyaman,0.02
Kpandai,0.02
Amansie West,0.02
Atwima Mponua,0.02
Tarkwa Nsuaem,0.01
Prestea / Huni Valley,0.01
Ho Municipal,0.01
Ho West,0.01
Ho Municipal,0.01
Ho Municipal,0.01
Ho West,0.01
Kpando Municipal,0.01
Afadzato South,0.01
South Dayi,0.01
East Akim,0.01
Amansie Central,0.01
Obuasi Municipal,0.01
Kasena Nankana West,0.01
Kasena Nankana West,0.01
Pusiga,0.01
Builsa North,0.01
Kpone Katamanso,0.01
Ada West,0.01
Ga West,0.01
Komenda Edna Eguafo / Abirem,0.01
Sunyani West,0.01
Sefwi Bibiani / Anhwiaso Bekwai,0
Sefwi-Wiawso,0
Juabeso,0
Bia East,0
Suaman,0
Bia West,0
Bodi,0
Aowin,0
Sefwi Akontombra,0
Wassa Amenfi Central,0
Ahanta West,0
Wassa Amenfi East,0
Wassa East,0
Sekondi Takoradi,0
Jomoro,0
Shama,0
Wassa Amenfi West,0
Ellembelle,0
Mpohor,0
Sene West,0
Techiman Municipal,0
Nkoranza North,0
Techiman North,0
Agotime Ziope,0
Ketu North,0
Hohoe Municipal,0
Keta Municipal,0
Adaklu,0
Asunafo North,0
Asunafo South,0
Asutifi South,0
Asutifi North,0
Tano South,0
Tano North,0
Kadjebi,0
Nkwanta South,0
Nkwanta North,0
Jasikan,0
Kadjebi,0
Krachi Nchumuru,0
Krachi West,0
Nadowli / Kaleo,0
Lawra,0
Jirapa,0
Nandom,0
Wa West,0
Wa East,0
Daffiama Bussie,0
Wa Municipal,0
Sawla / Tuna / Kalba,0
Denkyembour,0
Kwaebibirem,0
Yilo Krobo,0
Akwapem North,0
Upper West Akim,0
Birim Municipal,0
Ayensuano,0
Birim South,0
West Akim,0
Atiwa,0
Nsawam Adoagyiri,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
New Juaben Municipal,0
Birim North,0
Kwahu West,0
Sagnerigu,0
Tatale,0
Nanumba South,0
Zabzugu,0
Yendi Municipal,0
Asokore Mampong Municipal,0
Kwabre,0
Bosome Freho,0
Asante Akim South,0
Sekyere South,0
Sekyere Kumawu,0
Bosome Freho,0
Asante Akim Central Municipal,0
Sekyere East,0
Ejisu Juaben,0
Adansi North,0
Ahafo Ano North,0
Kma,0
Bosomtwe / Atwima / Kwanwoma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Adansi South,0
Bekwai Municipal,0
Afigya Kwabre,0
Bongo,0
Nabdam,0
Ledzokuku / Krowor,0
Adenta,0
Tema Metropolis,0
La Nkwantanang Madina,0
Accra Metropolis,0
Ga Central Municipal,0
Ga South,0
Ningo Prampram,0
Ada East,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Ajumako / Enyan / Esiam,0
Twifo Ati-Morkwa,0
Abura / Asebu / Kwamankese,0
Agona West,0
Awutu Senya West,0
Cape Coast Metro,0
Gomoa West,0
Mfantsiman,0
Effutu,0
Ekumfi,0
Gomoa East,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Upper Denkyira East,0
Awutu Senya West,0
Assin North,0
Agona East,0
Upper Denkyira West,0
Awutu Senya East Municipal,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Sunyani Municipal,0
Tain,0
