Region,20200923_20200930,20200722_20200729,20190901_20190920,20200819_20200826,20200826_20200902,20200805_20200812,20200909_20200916,20201014_20201021,20200812_20200819,20180815_20181015,20201007_20201014,20200902_20200909,20200916_20200923,20200715_20200722,20200930_20201007
Abura / Asebu / Kwamankese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accra Metropolis,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
Ada East,0.0,0.0,0.97,0.0,0.0,0.29,0.09,1.15,0.21,0.0,0.0,0.15,0.0,0.04,0.0
Ada West,0.0,0.0,1.08,0.01,0.01,0.32,0.0,1.55,0.34,0.0,0.0,0.28,0.0,0.05,0.0
Adaklu,0.0,0.0,0.1,0.01,0.0,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Adansi North,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adansi South,0.01,0.0,0.1,0.01,0.0,0.01,0.0,0.03,0.0,0.0,0.01,0.01,0.0,0.0,0.0
Adenta,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afadzato South,0.09,0.01,0.08,0.0,0.01,0.0,0.0,0.26,0.16,0.0,0.21,0.0,0.07,0.0,0.16
Afigya Kwabre,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agona East,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Agona West,0.0,0.0,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agotime Ziope,0.0,0.0,0.02,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahafo Ano North,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahafo Ano South,0.0,0.0,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
Ahanta West,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.01,0.01,0.0,0.0,0.05
Ajumako / Enyan / Esiam,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.01,0.0
Akatsi North,0.0,0.0,0.19,0.04,0.09,0.01,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0
Akatsi South,0.0,0.0,1.53,0.55,0.87,0.1,0.0,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.32
