Region,20200812_20200819,20200805_20200812,20200909_20200916,20201014_20201021,20190901_20190920,20200819_20200826,20200826_20200902,20200923_20200930,20200722_20200729,20200715_20200722,20200916_20200923,20200930_20201007,20200902_20200909,20201007_20201014,20180815_20181015
Abura / Asebu / Kwamankese,0.01,0.01,0.0,0.01,0.16,0.0,0.0,0.01,0.04,0.01,0.0,0.0,0.0,0.02,0.0
Accra Metropolis,0.03,0.07,0.0,0.16,0.51,0.0,0.0,0.0,0.01,0.1,0.0,0.03,0.04,0.13,0.0
Ada East,3.71,4.16,3.11,14.9,15.27,0.08,0.08,0.01,0.06,0.95,0.0,0.0,4.12,0.01,0.0
Ada West,1.87,1.96,0.0,14.7,6.87,0.02,0.01,0.0,0.0,0.43,0.0,0.0,2.12,0.0,0.0
Adaklu,0.07,0.12,0.0,0.11,0.32,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
Adansi North,0.0,0.01,0.0,0.29,0.42,0.05,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.0
Adansi South,0.02,0.15,0.0,1.48,1.35,0.71,0.0,0.08,0.06,0.0,0.0,0.0,0.47,0.23,0.0
Adenta,0.01,0.0,0.0,0.01,0.28,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afadzato South,1.65,1.28,0.0,5.06,4.61,0.01,0.04,1.49,0.02,0.01,0.56,1.86,0.04,2.23,0.0
Afigya Kwabre,0.0,0.0,0.0,0.06,0.0,0.01,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agona East,0.06,0.0,0.0,0.07,0.15,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.0
Agona West,0.0,0.0,0.01,0.0,0.28,0.06,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.1,0.0
Agotime Ziope,0.09,0.12,0.0,0.14,0.27,0.15,0.01,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.0
Ahafo Ano North,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahafo Ano South,0.0,0.02,0.0,0.07,0.13,0.11,0.0,0.05,0.0,0.0,0.0,0.01,0.0,0.05,0.0
Ahanta West,3.28,0.31,0.0,0.25,2.63,0.26,0.0,0.29,0.17,0.76,0.16,1.41,0.72,0.03,0.0
Akatsi North,0.11,0.04,0.0,0.28,0.36,0.06,0.16,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
Akatsi South,0.11,0.29,0.0,0.15,2.63,0.7,1.31,0.0,0.01,0.0,0.0,0.54,0.01,0.0,0.0
Akwapem North,0.04,0.0,0.0,0.01,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akwapem South,0.01,0.0,0.0,0.02,0.13,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akyem Mansa,0.0,0.1,0.0,0.08,0.66,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.03,0.0
Amansie Central,0.0,0.42,0.0,1.59,2.1,0.98,0.03,0.5,0.01,0.0,0.01,0.0,0.01,1.11,0.0
Amansie West,0.0,2.21,0.0,11.57,10.78,2.8,0.15,1.83,0.05,0.0,0.05,0.11,0.0,0.8,0.0
Aowin,0.01,0.1,0.0,3.84,4.66,0.97,0.48,0.82,0.34,0.42,0.5,0.33,1.68,1.44,0.0
Asante Akim Central Municipal,0.0,0.18,0.0,0.11,1.44,0.09,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.0
Asante Akim North,0.54,0.48,1.33,26.93,22.23,0.02,0.31,16.61,0.04,0.01,4.4,15.13,2.16,16.92,0.0
Asante Akim South,0.0,0.02,0.0,0.28,1.22,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0
Ashaiman,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asikuma / Odoben / Brakwa,0.0,0.0,0.0,0.01,0.0,0.03,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0
Asokore Mampong Municipal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assin North,0.0,0.25,0.0,1.46,2.34,1.62,0.0,0.57,0.06,0.0,0.0,0.0,0.3,1.05,0.0
Assin South,0.0,0.01,0.0,0.01,0.03,0.01,0.0,0.03,0.09,0.0,0.0,0.0,0.0,0.06,0.0
Asunafo North,0.04,0.0,0.0,0.14,0.01,0.0,0.01,0.0,0.0,0.0,0.09,0.0,0.0,0.05,0.0
Asunafo South,0.04,0.0,0.0,0.02,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.02,0.0
Asuogyaman,3.74,1.84,0.04,7.84,8.5,0.01,0.05,1.27,0.04,1.93,0.39,1.54,0.74,1.99,0.0
Asutifi North,0.0,0.21,0.0,0.61,0.85,0.0,0.0,0.42,0.02,0.09,0.01,0.03,0.0,0.05,0.0
Asutifi South,0.02,0.0,0.0,0.01,0.07,0.01,0.0,0.01,0.01,0.0,0.02,0.01,0.0,0.03,0.0
Atebubu Amantin,0.26,0.09,0.0,0.04,4.46,0.19,0.08,0.06,0.01,0.0,0.01,0.0,0.07,0.02,0.02
Atiwa,0.06,0.31,0.0,0.0,1.71,0.63,0.0,0.02,0.14,0.0,0.02,0.01,0.25,0.0,0.0
Atwima Kwanwoma,0.0,0.02,0.0,0.15,0.25,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.06,0.0
Atwima Mponua,0.0,0.15,0.0,2.99,7.41,0.25,0.06,0.21,0.0,0.0,0.0,0.02,0.09,0.54,0.0
Atwima Nwabiagya,0.0,0.0,0.0,0.58,0.41,0.04,0.09,0.08,0.0,0.0,0.02,0.0,0.0,1.93,0.0
Awutu Senya East Municipal,0.02,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.02,0.01,0.0,0.02,0.0,0.04,0.0
Ayensuano,0.0,0.0,0.0,0.03,0.06,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0
Banda,0.08,0.01,0.2,4.82,42.41,0.13,0.22,0.12,0.02,0.01,0.01,0.96,0.0,1.82,0.82
Bawku Municipal,0.15,0.1,1.73,0.12,2.15,0.71,1.22,0.96,0.03,0.0,0.37,1.28,1.4,0.08,2.51
Bawku West,0.88,0.12,31.83,1.93,10.88,0.61,22.34,2.33,0.06,0.27,3.72,4.55,31.14,2.93,6.56
Bekwai Municipal,0.0,0.05,0.0,0.13,0.73,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.53,0.0
Berekum,0.0,0.0,0.0,0.11,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
Bia East,0.01,0.0,0.0,0.02,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0
Bia West,0.01,0.0,0.0,0.17,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0
Biakoye,2.48,0.63,0.57,20.34,15.33,0.01,0.8,8.39,0.14,0.05,1.78,6.03,0.1,19.14,0.0
Binduri,0.39,0.16,25.09,1.33,10.32,1.41,21.21,1.38,0.06,0.29,1.46,3.89,29.15,1.82,8.59
Birim Municipal,0.07,0.25,0.0,0.13,0.12,0.04,0.0,0.0,0.04,0.01,0.0,0.0,0.0,0.15,0.0
Birim North,0.0,0.48,0.0,2.0,1.29,0.06,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.06,0.0
Birim South,0.01,0.12,0.0,0.08,0.45,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.12,0.0
Bodi,0.06,0.0,0.0,0.13,0.34,0.09,0.0,0.0,0.02,0.0,0.12,0.07,0.0,0.1,0.0
Bole,0.41,0.04,1.27,11.03,53.93,0.75,0.77,1.99,0.21,0.03,0.79,5.44,0.0,3.03,13.46
Bolgatanga Municipal,0.01,0.06,0.0,0.0,6.77,0.03,0.07,0.35,0.05,0.12,0.55,1.53,4.79,0.47,1.78
Bongo,0.01,0.03,0.02,0.08,2.41,0.03,0.0,0.72,0.02,0.24,0.67,0.98,1.41,1.01,2.04
Bosome Freho,0.0,0.03,0.0,0.16,0.85,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.0
Builsa North,0.2,0.0,0.19,0.87,14.02,0.18,0.03,0.41,0.04,0.15,1.38,6.32,2.98,1.62,5.0
Builsa South,0.35,0.44,2.78,3.76,36.08,1.49,0.32,0.67,0.16,3.99,4.74,20.33,8.82,9.87,25.7
Bunkpurugu Yonyo,0.04,0.31,6.21,1.83,5.84,0.87,5.47,3.01,0.12,0.06,10.57,10.53,9.39,2.46,6.66
Cape Coast Metro,0.64,0.02,0.0,0.21,0.64,0.03,0.0,0.18,0.03,0.15,0.04,0.0,0.03,0.13,0.0
Central Tongu,0.77,0.33,0.0,1.48,2.9,0.1,0.13,0.0,0.03,0.0,0.0,0.37,0.03,0.1,0.0
Chereponi,0.0,0.56,70.0,52.95,22.21,0.73,6.52,54.37,0.04,1.27,60.6,66.52,61.48,60.75,51.92
Daffiama Bussie,0.16,0.0,0.02,0.29,1.77,0.08,0.0,0.09,0.1,0.39,0.01,0.89,0.0,0.19,0.78
Denkyembour,0.03,0.3,0.0,0.09,0.63,0.03,0.0,0.0,0.09,0.03,0.0,0.04,0.0,0.09,0.0
Dormaa East,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dormaa Municipal,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.02,0.0,0.05,0.0
Dormaa West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
East Akim,0.0,0.01,0.0,0.05,0.18,0.05,0.12,0.03,0.01,0.0,0.02,0.0,0.0,0.0,0.0
East Gonja,2.14,5.34,20.98,165.56,192.38,3.93,1.39,114.41,0.56,4.57,53.54,84.33,3.4,129.48,248.96
Effutu,0.21,0.14,0.0,1.0,0.81,0.06,0.0,0.2,0.05,0.44,0.0,0.22,0.57,0.21,0.0
Ejisu Juaben,0.0,0.07,0.0,0.09,1.42,0.01,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.76,0.0
Ejura Sekye Dumase,0.01,0.0,0.0,0.0,0.01,0.05,0.03,0.12,0.01,0.0,0.01,0.0,0.0,0.0,0.0
Ekumfi,1.42,0.41,0.0,1.19,4.07,0.4,0.0,0.63,0.12,0.49,0.0,0.98,0.08,1.26,0.0
Ellembelle,0.9,0.01,0.0,0.77,2.74,0.07,0.01,0.01,0.05,0.53,0.16,0.01,0.29,0.01,0.0
Fanteakwa,1.52,0.46,0.05,11.26,4.72,0.35,0.42,7.57,0.08,0.44,3.1,7.95,0.52,4.32,0.0
Ga Central Municipal,0.03,0.0,0.0,0.11,0.23,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.06,0.0
Ga East,0.0,0.01,0.0,0.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ga South,1.09,1.8,0.0,6.86,8.8,2.35,0.0,1.42,0.13,1.04,0.0,0.72,1.24,1.9,0.0
Ga West,0.0,0.05,0.0,0.71,2.13,0.0,0.01,0.0,0.04,0.0,0.0,0.05,0.0,0.01,0.0
Garu Tempane,0.12,0.17,11.15,0.35,7.78,0.46,10.45,1.64,0.12,0.03,2.98,2.21,13.27,0.87,5.06
Gomoa East,0.16,0.13,0.0,0.26,1.39,0.19,0.0,0.04,0.16,0.12,0.0,0.05,0.04,0.08,0.0
Gomoa West,0.2,0.15,0.0,0.81,1.88,0.09,0.0,0.15,0.07,0.54,0.0,0.25,0.31,0.32,0.0
Gonja Central,1.31,2.17,20.82,144.65,123.72,1.78,1.08,157.2,0.37,2.6,114.3,113.2,4.11,108.67,216.98
Gushiegu,0.0,0.09,1.57,0.18,5.11,3.01,0.23,1.11,0.07,0.2,3.79,4.89,16.72,0.51,7.65
Ho Municipal,0.07,0.02,0.0,0.11,0.1,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Ho West,0.11,0.03,0.01,0.05,0.05,0.08,0.1,0.0,0.01,0.0,0.0,0.0,0.04,0.0,0.0
Hohoe Municipal,0.15,0.0,0.0,0.01,0.17,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0
Jaman North,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0
Jaman South,0.0,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jasikan,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Jirapa,0.66,0.0,0.1,2.05,6.59,0.09,0.0,0.67,0.07,0.05,0.05,2.53,0.04,0.96,4.92
Jomoro,0.81,0.04,0.0,1.39,7.62,0.88,0.57,0.39,0.21,1.32,0.0,0.02,1.31,0.25,0.0
Juabeso,0.09,0.0,0.0,0.52,0.29,0.28,0.0,0.0,0.02,0.0,0.12,0.12,0.0,0.04,0.0
Kadjebi,0.08,0.01,0.0,0.01,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0
Karaga,0.0,3.05,86.98,26.71,104.64,8.37,23.1,68.06,0.18,0.61,99.69,98.56,159.77,31.33,93.11
Kasena Nankana East,0.06,0.06,5.15,1.65,38.32,1.42,4.11,9.21,0.1,0.33,16.93,17.27,25.23,6.58,16.7
Kasena Nankana West,0.14,0.0,1.0,2.07,6.25,0.16,0.02,2.2,0.09,0.05,2.62,4.15,2.4,3.43,4.85
Keta Municipal,1.36,4.8,0.0,15.92,58.61,1.03,0.01,0.81,0.69,0.95,0.29,1.1,5.25,0.0,0.0
Ketu North,0.04,0.03,0.0,0.76,4.83,0.09,0.0,0.03,0.01,0.0,0.0,0.0,0.09,0.0,0.0
Ketu South,0.75,0.53,0.0,12.25,27.3,0.02,0.06,2.43,0.02,0.27,4.52,0.26,1.37,0.0,0.0
Kintampo North,0.55,0.41,0.11,16.99,16.44,0.27,0.09,10.39,0.05,0.45,3.08,9.74,0.16,6.23,19.36
Kintampo South,0.03,0.0,0.0,0.01,0.14,0.05,0.39,0.03,0.0,0.0,0.0,0.02,0.0,0.0,0.07
Kma,0.0,0.0,0.0,0.03,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0
Komenda Edna Eguafo / Abirem,0.89,0.29,0.0,1.02,2.78,0.51,0.03,1.47,0.09,1.43,0.33,1.06,1.19,0.01,0.0
Kpandai,0.54,1.88,5.46,73.99,72.57,1.14,0.08,40.88,0.29,0.4,16.22,31.68,0.99,34.62,75.69
Kpando Municipal,1.1,0.43,0.19,9.13,6.59,0.0,0.1,3.12,0.03,0.0,1.19,3.17,0.14,7.01,0.0
Kpone Katamanso,0.11,0.04,0.02,0.22,0.83,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0
Krachi East,9.13,7.09,4.38,110.34,77.45,0.21,5.19,57.9,0.42,1.19,40.92,45.16,2.7,86.52,4.99
Krachi Nchumuru,2.82,0.74,1.61,42.97,28.5,0.89,0.04,30.9,0.07,0.08,12.1,20.99,0.98,20.8,22.42
Krachi West,2.16,1.13,0.95,49.94,37.77,0.33,0.24,31.19,0.07,1.44,14.79,24.82,0.22,27.27,3.44
Kumbumgu,3.13,1.86,168.68,51.43,159.46,3.61,0.94,174.46,0.0,0.83,131.59,125.11,33.49,149.6,188.22
Kwabre,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.01,0.0
Kwaebibirem,0.0,0.07,0.0,0.12,0.67,0.12,0.0,0.01,0.06,0.0,0.0,0.01,0.0,0.0,0.0
Kwahu Afram Plains North,16.18,11.85,6.51,131.42,80.22,6.39,0.85,59.57,0.24,3.37,32.19,52.96,11.62,95.13,0.0
Kwahu Afram Plains South,16.84,10.93,3.26,113.68,70.06,7.58,2.98,62.82,0.28,9.75,41.2,51.37,13.06,73.76,0.0
Kwahu East,0.11,0.0,0.0,0.49,0.01,0.08,0.54,1.01,0.0,0.14,0.73,0.07,0.03,0.05,0.0
Kwahu South,2.69,0.76,0.12,16.32,8.78,1.26,0.35,6.35,0.05,2.19,5.94,8.28,0.88,7.12,0.0
Kwahu West,0.01,0.0,0.0,0.0,0.0,0.09,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
La Dade Kotopon,0.01,0.0,0.0,0.01,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
La Nkwantanang Madina,0.0,0.0,0.0,0.05,0.95,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lambussie Karni,0.53,0.0,0.01,0.31,0.63,0.08,0.08,0.12,0.05,0.0,0.01,0.06,0.0,0.2,0.36
Lawra,0.12,0.0,0.19,3.33,13.89,0.0,0.01,1.87,0.05,0.0,1.87,4.9,0.02,1.26,10.77
Ledzokuku / Krowor,0.01,0.01,0.0,0.04,0.13,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0
Lower Manya,1.5,1.15,0.05,2.37,2.36,0.07,0.13,0.6,0.01,1.15,0.46,0.81,0.94,1.12,0.0
Mampong Municipal,0.04,0.0,0.0,0.02,0.02,0.05,0.07,0.19,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Mamprugu Moagduri,0.08,1.18,75.69,26.34,178.13,5.69,4.77,65.02,0.29,6.55,67.17,93.07,68.01,72.83,158.22
Mamprusi East,0.41,0.15,11.38,1.89,7.34,0.6,2.15,2.38,0.11,0.07,8.66,6.26,15.84,1.18,4.79
Mfantsiman,0.63,0.31,0.0,0.62,1.38,0.23,0.0,0.27,0.08,0.57,0.0,0.5,0.01,0.81,0.0
Mion,0.35,0.23,5.49,4.92,16.13,0.12,0.12,6.79,0.06,0.12,3.52,5.08,1.69,10.38,23.37
Mpohor,0.0,0.01,0.0,0.15,0.34,0.05,0.0,0.04,0.07,0.01,0.0,0.0,0.0,0.0,0.0
Nabdam,0.1,0.08,0.45,0.01,0.87,0.0,0.0,0.01,0.02,0.16,0.13,0.31,0.76,0.23,0.86
Nandom,0.59,0.0,0.08,2.82,10.8,0.0,0.03,3.56,0.03,0.01,0.41,3.68,0.0,0.48,5.36
Nanumba North,0.61,1.18,8.62,53.02,62.13,0.46,0.22,28.13,0.29,0.67,11.91,14.87,1.0,24.7,84.76
Nanumba South,0.97,0.56,10.11,42.09,34.07,0.28,0.01,17.72,0.15,0.2,12.08,20.4,2.58,22.21,38.39
New Juaben Municipal,0.01,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ningo Prampram,0.84,0.9,0.0,8.79,7.69,0.06,0.0,0.0,0.0,0.1,0.0,0.03,0.78,0.07,0.0
Nkoranza North,0.04,0.0,0.0,0.0,0.12,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nkoranza South,0.0,0.0,0.0,0.01,0.3,0.01,0.09,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Nkwanta North,1.09,0.66,10.59,42.89,28.95,0.67,0.02,24.07,0.1,0.41,13.49,23.97,1.52,26.42,25.51
Nkwanta South,1.04,0.3,0.64,12.12,9.84,0.4,0.0,8.14,0.07,0.37,3.39,6.41,0.11,3.95,7.84
North Dayi,1.07,1.21,0.23,7.54,6.44,0.01,0.04,3.0,0.01,0.01,1.17,2.91,1.27,4.02,0.0
North Gonja,0.91,0.15,44.16,12.88,44.41,0.27,0.45,90.82,0.07,0.61,79.0,51.72,0.99,42.18,128.17
