Region,People Impacted
Gonja Central,1373
Komenda Edna Eguafo / Abirem,1150
East Gonja,1082
Sene West,490
Kwahu Afram Plains North,435
Krachi East,429
Obuasi Municipal,403
Sene East,334
Ga South,287
Adansi South,279
Sefwi-Wiawso,264
Shama,216
Sekyere East,216
Kwahu West,215
Wassa Amenfi East,207
Sekyere South,180
Dormaa Municipal,168
Kwahu Afram Plains South,150
Krachi West,148
West Mamprusi,142
Ahafo Ano South,136
Mfantsiman,121
Ejisu Juaben,115
Savelugu Nanton,105
Saboba,102
Kpandai,96
Mamprugu Moagduri,80
Abura / Asebu / Kwamankese,80
Cape Coast Metro,74
Kintampo North,66
Krachi Nchumuru,60
Chereponi,55
Upper Denkyira West,54
New Juaben Municipal,48
Nanumba South,45
Kumbumgu,44
Prestea / Huni Valley,42
Ketu South,42
Karaga,38
Nanumba North,30
Afadzato South,28
Nkwanta North,27
Amansie West,27
Bunkpurugu Yonyo,26
Nkwanta South,25
Keta Municipal,24
North Gonja,22
Fanteakwa,20
Wassa East,18
Pru,17
Zabzugu,16
Asuogyaman,14
Yendi Municipal,13
Twifo Ati-Morkwa,13
Kwahu South,12
Kwahu South,12
Kwahu South,12
Ekumfi,11
Biakoye,10
North Dayi,9
East Akim,9
Amansie Central,9
Sekyere Kumawu,8
South Dayi,7
Wassa Amenfi Central,6
Kwahu East,6
Bawku Municipal,6
Kasena Nankana East,5
Kasena Nankana East,5
Kasena Nankana East,5
Sefwi Bibiani / Anhwiaso Bekwai,0
Juabeso,0
Bia East,0
Suaman,0
Bia West,0
Bodi,0
Aowin,0
Sefwi Akontombra,0
Tarkwa Nsuaem,0
Nzema East,0
Ahanta West,0
Sekondi Takoradi,0
Jomoro,0
Wassa Amenfi West,0
Ellembelle,0
Mpohor,0
Kintampo South,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Atebubu Amantin,0
Techiman North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
South Tongu,0
Central Tongu,0
Ho West,0
Kpando Municipal,0
Akatsi North,0
Ketu North,0
Hohoe Municipal,0
North Tongu,0
Akatsi South,0
Adaklu,0
Asunafo North,0
Asunafo South,0
Asutifi South,0
Asutifi North,0
Tano South,0
Tano North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Nadowli / Kaleo,0
Lawra,0
Jirapa,0
Nandom,0
Sissala East,0
Sissala  West,0
Lambussie Karni,0
Wa West,0
Wa East,0
Daffiama Bussie,0
Wa Municipal,0
Mamprusi East,0
Sawla / Tuna / Kalba,0
Bole,0
West Gonja,0
Denkyembour,0
Kwaebibirem,0
Yilo Krobo,0
Akwapem North,0
Upper West Akim,0
Birim Municipal,0
Lower Manya,0
Ayensuano,0
Birim South,0
West Akim,0
Atiwa,0
Nsawam Adoagyiri,0
Upper Manya,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
Birim North,0
Tolon,0
Sagnerigu,0
Tatale,0
Mion,0
Gushiegu,0
Tamale North Sub Metro,0
Mion,0
Asokore Mampong Municipal,0
Kwabre,0
Bosome Freho,0
Asante Akim South,0
Asante Akim North,0
Mampong Municipal,0
Bosome Freho,0
Asante Akim Central Municipal,0
Offinso North,0
Adansi North,0
Sekyere Central,0
Sekyere Afram Plains North,0
Ahafo Ano North,0
Kma,0
Bosomtwe / Atwima / Kwanwoma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ejura Sekye Dumase,0
Atwima Mponua,0
Atwima Nwabiagya,0
Bekwai Municipal,0
Afigya Kwabre,0
Kasena Nankana West,0
Builsa South,0
Binduri,0
Kasena Nankana West,0
Bawku West,0
Pusiga,0
Bongo,0
Bolgatanga Municipal,0
Garu Tempane,0
Talensi,0
Nabdam,0
Builsa North,0
Ledzokuku / Krowor,0
Adenta,0
Kpone Katamanso,0
Tema Metropolis,0
La Nkwantanang Madina,0
Shai Osu Doku,0
Ada West,0
Accra Metropolis,0
Ga Central Municipal,0
Ningo Prampram,0
Ada East,0
Ga West,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Ajumako / Enyan / Esiam,0
Agona West,0
Awutu Senya West,0
Gomoa West,0
Effutu,0
Gomoa East,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Upper Denkyira East,0
Awutu Senya West,0
Assin North,0
Agona East,0
Awutu Senya East Municipal,0
Banda,0
Sunyani West,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Sunyani Municipal,0
Tain,0
