Region,Roads Impacted
Chereponi,35559
Krachi Nchumuru,18498
West Mamprusi,10725
Karaga,10360
Saboba,9451
Kpandai,8384
Kumbumgu,5499
Savelugu Nanton,3993
Bunkpurugu Yonyo,2122
Gonja Central,1443
Yendi Municipal,1340
North Gonja,1275
Kwahu Afram Plains North,1160
Mion,1120
Mion,1120
Kasena Nankana East,1117
Kasena Nankana East,1117
Kasena Nankana East,1117
Krachi West,1110
Sene East,1107
East Gonja,1030
Krachi East,840
Nkwanta North,810
Builsa South,754
Ga South,730
Sissala East,670
Kwahu Afram Plains South,670
Zabzugu,661
Garu Tempane,640
Lawra,589
Nanumba North,540
Mamprugu Moagduri,520
Kasena Nankana West,480
Kasena Nankana West,480
Binduri,460
Nadowli / Kaleo,444
Tolon,429
Wa East,420
Nandom,411
Builsa North,400
Kwahu South,380
Kwahu South,380
Kwahu South,380
Bongo,290
Pru,280
Mamprusi East,268
Jirapa,240
Central Tongu,220
Nanumba South,200
Nsawam Adoagyiri,170
Kpando Municipal,160
Shama,150
Nzema East,130
Daffiama Bussie,130
Ayensuano,120
Bawku Municipal,120
Bodi,110
Asunafo South,110
Pusiga,110
Awutu Senya East Municipal,100
Juabeso,90
Bawku West,90
La Nkwantanang Madina,90
Accra Metropolis,90
Banda,90
Gushiegu,80
Mfantsiman,80
Bolgatanga Municipal,70
Tatale,69
Ahanta West,60
North Dayi,60
Aowin,50
Afadzato South,50
Kwahu East,50
Tamale North Sub Metro,50
Kintampo North,47
Fanteakwa,40
Atiwa,30
Komenda Edna Eguafo / Abirem,30
West Gonja,26
Talensi,22
Sagnerigu,20
Bole,19
Wa West,16
Keta Municipal,10
Nkwanta South,10
Sefwi Bibiani / Anhwiaso Bekwai,0
Sefwi-Wiawso,0
Bia East,0
Suaman,0
Bia West,0
Sefwi Akontombra,0
Tarkwa Nsuaem,0
Wassa Amenfi Central,0
Wassa Amenfi East,0
Wassa East,0
Sekondi Takoradi,0
Jomoro,0
Wassa Amenfi West,0
Ellembelle,0
Prestea / Huni Valley,0
Mpohor,0
Sene West,0
Kintampo South,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Atebubu Amantin,0
Techiman North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
South Tongu,0
Ho West,0
Akatsi North,0
Ketu South,0
Ketu North,0
Hohoe Municipal,0
South Dayi,0
North Tongu,0
Akatsi South,0
Adaklu,0
Asunafo North,0
Asutifi South,0
Asutifi North,0
Tano South,0
Tano North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Biakoye,0
Sissala  West,0
Lambussie Karni,0
Wa Municipal,0
Sawla / Tuna / Kalba,0
Denkyembour,0
Kwaebibirem,0
Yilo Krobo,0
Akwapem North,0
Upper West Akim,0
Birim Municipal,0
Lower Manya,0
East Akim,0
Birim South,0
West Akim,0
Asuogyaman,0
Upper Manya,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
New Juaben Municipal,0
Birim North,0
Kwahu West,0
Asokore Mampong Municipal,0
Kwabre,0
Bosome Freho,0
Asante Akim South,0
Asante Akim North,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Bosome Freho,0
Asante Akim Central Municipal,0
Sekyere East,0
Offinso North,0
Ejisu Juaben,0
Adansi North,0
Amansie Central,0
Obuasi Municipal,0
Sekyere Central,0
Sekyere Afram Plains North,0
Amansie West,0
Ahafo Ano North,0
Kma,0
Bosomtwe / Atwima / Kwanwoma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Ejura Sekye Dumase,0
Adansi South,0
Atwima Mponua,0
Atwima Nwabiagya,0
Bekwai Municipal,0
Afigya Kwabre,0
Nabdam,0
Ledzokuku / Krowor,0
Adenta,0
Kpone Katamanso,0
Tema Metropolis,0
Shai Osu Doku,0
Ada West,0
Ga Central Municipal,0
Ningo Prampram,0
Ada East,0
Ga West,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Ajumako / Enyan / Esiam,0
Twifo Ati-Morkwa,0
Abura / Asebu / Kwamankese,0
Agona West,0
Awutu Senya West,0
Cape Coast Metro,0
Gomoa West,0
Effutu,0
Ekumfi,0
Gomoa East,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Upper Denkyira East,0
Awutu Senya West,0
Assin North,0
Agona East,0
Upper Denkyira West,0
Sunyani West,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Sunyani Municipal,0
Tain,0
