Region,Roads Impacted
Krachi Nchumuru,30514
Kpandai,10548
Keta Municipal,10490
Ga South,5930
Ketu South,5550
Chereponi,3269
Ada West,1530
Nanumba North,1406
Krachi West,1210
Savelugu Nanton,1116
Sene East,1097
Asuogyaman,920
Ada East,790
East Gonja,704
Kpone Katamanso,638
Jomoro,620
Mion,610
Mion,610
Kintampo North,580
Nandom,571
Kwahu Afram Plains North,550
Bongo,550
Lawra,490
South Tongu,450
Krachi East,450
Nadowli / Kaleo,437
Karaga,430
Lower Manya,410
Saboba,380
Kumbumgu,334
Kwahu Afram Plains South,320
Komenda Edna Eguafo / Abirem,300
North Tongu,280
Nkwanta North,280
Adenta,280
Bole,255
Ningo Prampram,250
Yendi Municipal,241
Daffiama Bussie,230
Sawla / Tuna / Kalba,225
Gonja Central,200
Wa West,190
Tolon,190
Sefwi Bibiani / Anhwiaso Bekwai,160
Tamale North Sub Metro,140
Upper Denkyira West,140
West Mamprusi,139
Ahanta West,130
Jirapa,123
Binduri,116
Zabzugu,99
Kwahu South,90
Kwahu South,90
Kwahu South,90
Kasena Nankana East,90
Kasena Nankana East,90
Kasena Nankana East,90
Accra Metropolis,90
Talensi,89
Kpando Municipal,70
Tema Metropolis,70
Mamprugu Moagduri,61
Banda,55
Ketu North,50
Bolgatanga Municipal,41
Twifo Ati-Morkwa,40
Cape Coast Metro,40
Nzema East,30
Shama,30
Akatsi North,30
Gomoa West,30
Effutu,30
Upper Denkyira East,30
Bosomtwe / Atwima / Kwanwoma,26
Sekondi Takoradi,20
Wa East,20
Wa Municipal,20
Bosome Freho,4
Bosome Freho,4
Bawku West,4
Sefwi-Wiawso,0
Juabeso,0
Bia East,0
Suaman,0
Bia West,0
Bodi,0
Aowin,0
Sefwi Akontombra,0
Tarkwa Nsuaem,0
Wassa Amenfi Central,0
Wassa Amenfi East,0
Wassa East,0
Wassa Amenfi West,0
Ellembelle,0
Prestea / Huni Valley,0
Mpohor,0
Sene West,0
Kintampo South,0
Techiman Municipal,0
Pru,0
Nkoranza South,0
Nkoranza North,0
Atebubu Amantin,0
Techiman North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
Central Tongu,0
Ho West,0
Afadzato South,0
Hohoe Municipal,0
North Dayi,0
South Dayi,0
Akatsi South,0
Adaklu,0
Asunafo North,0
Asunafo South,0
Asutifi South,0
Asutifi North,0
Tano South,0
Tano North,0
Kadjebi,0
Nkwanta South,0
Jasikan,0
Kadjebi,0
Biakoye,0
Sissala East,0
Sissala  West,0
Lambussie Karni,0
Bunkpurugu Yonyo,0
Mamprusi East,0
West Gonja,0
North Gonja,0
Denkyembour,0
Kwaebibirem,0
Yilo Krobo,0
Akwapem North,0
Upper West Akim,0
Birim Municipal,0
Ayensuano,0
East Akim,0
Birim South,0
West Akim,0
Atiwa,0
Fanteakwa,0
Nsawam Adoagyiri,0
Upper Manya,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
Kwahu East,0
New Juaben Municipal,0
Birim North,0
Kwahu West,0
Sagnerigu,0
Tatale,0
Nanumba South,0
Gushiegu,0
Asokore Mampong Municipal,0
Kwabre,0
Asante Akim South,0
Asante Akim North,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Asante Akim Central Municipal,0
Sekyere East,0
Offinso North,0
Ejisu Juaben,0
Adansi North,0
Amansie Central,0
Obuasi Municipal,0
Sekyere Central,0
Sekyere Afram Plains North,0
Amansie West,0
Ahafo Ano North,0
Kma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Ejura Sekye Dumase,0
Adansi South,0
Atwima Mponua,0
Atwima Nwabiagya,0
Bekwai Municipal,0
Afigya Kwabre,0
Kasena Nankana West,0
Builsa South,0
Kasena Nankana West,0
Pusiga,0
Bawku Municipal,0
Garu Tempane,0
Nabdam,0
Builsa North,0
Ledzokuku / Krowor,0
La Nkwantanang Madina,0
Shai Osu Doku,0
Ga Central Municipal,0
Ga West,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Ajumako / Enyan / Esiam,0
Abura / Asebu / Kwamankese,0
Agona West,0
Awutu Senya West,0
Mfantsiman,0
Ekumfi,0
Gomoa East,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Awutu Senya West,0
Assin North,0
Agona East,0
Awutu Senya East Municipal,0
Sunyani West,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Sunyani Municipal,0
Tain,0
