|,|__District,|__Data__deployment_id,|__Data__dtime_start,|__Data__dtime_end,|__Data__value,|__Total_Cropland_km2
Cropland_Impacts,West Mamprusi,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,195.69,2470.94
,Karaga,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,162.39,2569.04
,Saboba,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,145.45,1474.82
,Mamprugu Moagduri,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,124.71,2044.83
,Savelugu Nanton,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,123.43,2093.29
,Kumbumgu,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,91.2,1569.97
,Chereponi,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,68.57,1046.65
,East Gonja,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,49,7398.14
,Tolon,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,42.53,1189.5
,Gonja Central,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,33.46,7251.67
,North Gonja,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,30.02,4852.9
,Bawku West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,25.31,995.97
,Garu Tempane,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,24.99,1043.4
,Mamprusi East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,24.58,1899.01
,Talensi,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,24.19,711.41
,Kasena Nankana East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,23.39,758.83
,Binduri,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,22.55,331.99
,Builsa South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,20.28,1185.83
,Gushiegu,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,19.77,2997.21
,Yendi Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,17.32,1475.89
,Pru,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,14.49,2965.32
,Bunkpurugu Yonyo,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,13.12,1138.25
,Nanumba North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,12.68,2242.29
,Kwahu Afram Plains North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,12.42,2540.44
,Mion,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,10.18,2620.22
,West Gonja,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,9.62,4911.56
,Kwahu Afram Plains South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,9.43,3211.5
,Sissala East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,8.72,4886.03
,Tamale North Sub Metro,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,8.4,476.28
,Sissala  West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,7.81,1659.95
,Zabzugu,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,7.03,620.21
,Nanumba South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,6.69,1622.08
,Krachi East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,6.23,2008.77
,Tatale,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,5.59,142.72
,Atebubu Amantin,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,5.48,2774.01
,Kpandai,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,5.17,2149.62
