|,|__District,|__Total_Population,|__Data__deployment_id,|__Data__dtime_start,|__Data__dtime_end,|__Data__value
Population_Impacts,La Dade Kotopon,394390,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,7906
,Sekondi Takoradi,651924,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,6679
,Agona West,124270,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,6526
,Komenda Edna Eguafo / Abirem,162663,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,5698
,Accra Metropolis,1836282,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,3724
,Cape Coast Metro,207879,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,3119
,Shama,175019,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,2689
,Gonja Central,94866,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,2424
,Karaga,102458,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,1928
,Krachi East,133791,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,1866
,Gomoa West,133838,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,1859
,East Gonja,157291,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,1831
,Ahanta West,115998,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,1807
,Ga South,447604,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,1591
,Mfantsiman,146804,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,1573
,Saboba,77358,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,1360
,Kwahu Afram Plains North,150668,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,1230
,Sene West,66782,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,1200
,Yendi Municipal,143666,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,1158
,Garu Tempane,137481,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,1146
,Ellembelle,86535,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,1088
,East Akim,185420,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,1071
,Birim Municipal,142428,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,1020
,Bawku West,98389,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,1010
,Sene East,74054,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,994
,Gushiegu,116445,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,985
,Ada West,72523,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,977
,Jomoro,178878,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,963
,Krachi West,78083,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,896
,Ada East,85348,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,872
,Mamprusi East,128421,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,866
,Kpone Katamanso,244597,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,816
,West Mamprusi,151946,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,795
,Ekumfi,67707,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,781
,Obuasi Municipal,201494,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,749
,Birim South,169884,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,737
,Nkwanta North,80101,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,711
,Sagnerigu,189375,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,684
,Ajumako / Enyan / Esiam,168263,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,672
,Upper Denkyira West,67099,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,670
,Kwaebibirem,115441,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,664
,Effutu,82266,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,640
,Savelugu Nanton,172696,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,619
,Kma,2380937,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,600
,Tarkwa Nsuaem,84595,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,600
,Wassa East,50096,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,594
,Nanumba South,144562,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,565
,Keta Municipal,154372,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,548
,Bunkpurugu Yonyo,148530,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,527
,Gomoa East,320285,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,511
,Assin North,191135,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,510
,Birim North,94700,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,507
,Asikuma / Odoben / Brakwa,125655,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,504
,Aowin,110762,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,495
,Adansi South,105497,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,495
,Atiwa,136856,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,477
,Krachi Nchumuru,82612,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,474
,Ketu South,232578,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,470
,Asunafo North,139313,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,458
,Nzema East,48389,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,449
,Pusiga,60163,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,447
