Region,Avg Impact Per Year - People,Avg Impact Per Year - Crops,Risk,Risk_Norm,Treatment
Gonja Central,365.6833333333333,1.0493333333333332,366.7326666666666,8.816119479728878,1
Ga South,276.3666666666666,0.16533333333333336,276.5319999999999,6.587574190494063,1
East Gonja,257.98333333333335,6.930666666666666,264.914,6.300533749141118,1
Accra Metropolis,156.45,0.0005,156.45049999999998,3.6207772582919713,1
Keta Municipal,140.96666666666667,0.20283333333333334,141.1695,3.2432368051748792,1
Ada West,128.53333333333333,1.5825,130.11583333333334,2.9701390810770687,1
Komenda Edna Eguafo / Abirem,113.46666666666668,0.0006666666666666666,113.46733333333334,2.55881245103192,1
Ketu South,63.3,0.8341666666666666,64.13416666666666,1.3399611914916805,1
Sene East,48.7,1.3731666666666666,50.07316666666667,0.9925627024347186,1
Ada East,41.63333333333333,0.5938333333333333,42.22716666666667,0.7987152843889943,1
Krachi Nchumuru,39.933333333333344,1.2846666666666666,41.21800000000001,0.7737822799649385,1
Kwahu Afram Plains North,37.25,2.690166666666667,39.94016666666667,0.7422114550402089,1
Krachi East,30.666666666666664,1.5915,32.25816666666667,0.5524159075730596,1
Jomoro,29.4,0.01983333333333333,29.419833333333333,0.48229054583207315,1
Kpandai,23.46666666666667,2.3025,25.76916666666667,0.3920952479122512,1
Ekumfi,23.833333333333336,0.105,23.938333333333336,0.3468617130487904,1
Kwahu Afram Plains South,20.05,1.3165,21.366500000000002,0.28332064099798804,1
Krachi West,19.45,0.7446666666666666,20.194666666666667,0.2543687080325813,1
West Mamprusi,11.966666666666667,7.509499999999999,19.476166666666664,0.23661706772339786,1
Amansie West,15.016666666666667,0.08766666666666666,15.104333333333335,0.1286042454199442,1
Shama,13.500000000000002,0.007166666666666668,13.507166666666668,0.08914380258002208,1
Kintampo North,11.65,1.6273333333333333,13.277333333333333,0.08346541891350291,1
Savelugu Nanton,4.0,7.578333333333332,11.578333333333333,0.041489027980583564,1
South Dayi,10.966666666666667,0.0555,11.022166666666667,0.027748080703444884,1
Cape Coast Metro,10.633333333333333,0.0005,10.633833333333333,0.018153712361900623,1
Mfantsiman,10.15,0.015500000000000003,10.1655,0.006582821786905186,1
Central Tongu,9.35,0.0855,9.4355,-0.011452943593336809,1
Nkwanta South,9.2,0.13133333333333336,9.331333333333333,-0.014026540251476347,1
Sene West,8.0,0.38316666666666666,8.383166666666666,-0.037452446472525824,1
Asuogyaman,8.233333333333334,0.059833333333333336,8.293166666666668,-0.03967603398515835,1
Pru,4.05,3.462833333333333,7.512833333333333,-0.058955361270613404,1
South Tongu,6.300000000000002,0.12633333333333335,6.426333333333335,-0.08579900385367215,1
Mamprugu Moagduri,2.5,3.902833333333333,6.402833333333334,-0.08637960725974846,1
Twifo Ati-Morkwa,5.8500000000000005,0.009666666666666669,5.8596666666666675,-0.09979936967395132,1
