Region,Treatment,year,pop_sum
Jasikan,0,1985,0.0
Jasikan,0,1986,0.0
Jasikan,0,1987,0.0
Jasikan,0,1988,0.0
Jasikan,0,1989,0.0
Jasikan,0,1990,0.0
Jasikan,0,1991,0.0
Jasikan,0,1992,0.0
Jasikan,0,1994,0.0
Jasikan,0,1995,0.0
Jasikan,0,1996,0.0
Jasikan,0,1997,0.0
Jasikan,0,1998,0.0
Jasikan,0,1999,0.0
Jasikan,0,2000,0.0
Jasikan,0,2001,0.0
Jasikan,0,2002,0.0
Jasikan,0,2003,0.0
Jasikan,0,2004,0.0
Jasikan,0,2005,0.0
Jasikan,0,2006,0.0
Jasikan,0,2007,0.0
Jasikan,0,2008,0.0
Jasikan,0,2009,0.0
Jasikan,0,2010,0.0
Jasikan,0,2011,0.0
Jasikan,0,2012,0.0
Jasikan,0,2013,0.0
Jasikan,0,2014,0.0
Jasikan,0,2015,0.0
Jasikan,0,2016,0.0
Jasikan,0,2017,0.0
Jasikan,0,2018,0.0
Jasikan,0,2019,0.0
Kadjebi,0,1985,0.0
Kadjebi,0,1986,0.0
Kadjebi,0,1987,0.0
Kadjebi,0,1988,0.0
Kadjebi,0,1989,0.0
Kadjebi,0,1990,0.0
Kadjebi,0,1991,0.0
Kadjebi,0,1992,0.0
Kadjebi,0,1994,0.0
Kadjebi,0,1995,0.0
Kadjebi,0,1996,0.0
Kadjebi,0,1997,0.0
Kadjebi,0,1998,0.0
Kadjebi,0,1999,0.0
Kadjebi,0,2000,0.0
Kadjebi,0,2001,0.0
Kadjebi,0,2002,0.0
Kadjebi,0,2003,0.0
Kadjebi,0,2004,0.0
Kadjebi,0,2005,0.0
Kadjebi,0,2006,0.0
Kadjebi,0,2007,0.0
Kadjebi,0,2008,0.0
Kadjebi,0,2009,0.0
Kadjebi,0,2010,0.0
Kadjebi,0,2011,0.0
Kadjebi,0,2012,0.0
Kadjebi,0,2013,0.0
Kadjebi,0,2014,0.0
Kadjebi,0,2015,0.0
Kadjebi,0,2016,0.0
Kadjebi,0,2017,0.0
Kadjebi,0,2018,0.0
Kadjebi,0,2019,0.0
Nkwanta South,1,1985,0.0
Nkwanta South,1,1986,0.0
Nkwanta South,1,1987,18.0
Nkwanta South,1,1988,16.0
Nkwanta South,1,1989,0.0
Nkwanta South,1,1990,34.0
Nkwanta South,1,1991,25.0
Nkwanta South,1,1992,0.0
Nkwanta South,1,1994,0.0
Nkwanta South,1,1995,0.0
Nkwanta South,1,1996,0.0
Nkwanta South,1,1997,0.0
Nkwanta South,1,1998,0.0
Nkwanta South,1,1999,0.0
Nkwanta South,1,2000,16.0
Nkwanta South,1,2001,0.0
Nkwanta South,1,2002,0.0
Nkwanta South,1,2003,0.0
Nkwanta South,1,2004,0.0
Nkwanta South,1,2005,0.0
Nkwanta South,1,2006,0.0
Nkwanta South,1,2007,0.0
Nkwanta South,1,2008,9.0
Nkwanta South,1,2009,9.0
Nkwanta South,1,2010,97.0
Nkwanta South,1,2011,120.0
Nkwanta South,1,2012,52.0
Nkwanta South,1,2013,43.0
Nkwanta South,1,2014,0.0
Nkwanta South,1,2015,0.0
Nkwanta South,1,2016,0.0
Nkwanta South,1,2017,0.0
Nkwanta South,1,2018,16.0
Nkwanta South,1,2019,25.0
Krachi Nchumuru,1,1985,0.0
Krachi Nchumuru,1,1986,0.0
Krachi Nchumuru,1,1987,0.0
Krachi Nchumuru,1,1988,156.0
Krachi Nchumuru,1,1989,276.0
Krachi Nchumuru,1,1990,60.0
Krachi Nchumuru,1,1991,0.0
Krachi Nchumuru,1,1992,0.0
Krachi Nchumuru,1,1994,0.0
Krachi Nchumuru,1,1995,0.0
Krachi Nchumuru,1,1996,0.0
Krachi Nchumuru,1,1997,0.0
Krachi Nchumuru,1,1998,0.0
Krachi Nchumuru,1,1999,12.0
Krachi Nchumuru,1,2000,12.0
Krachi Nchumuru,1,2001,0.0
Krachi Nchumuru,1,2002,0.0
Krachi Nchumuru,1,2003,0.0
Krachi Nchumuru,1,2004,0.0
Krachi Nchumuru,1,2005,0.0
Krachi Nchumuru,1,2006,0.0
Krachi Nchumuru,1,2007,0.0
Krachi Nchumuru,1,2008,84.0
Krachi Nchumuru,1,2009,168.0
Krachi Nchumuru,1,2010,369.0
Krachi Nchumuru,1,2011,416.0
Krachi Nchumuru,1,2012,203.0
Krachi Nchumuru,1,2013,156.0
Krachi Nchumuru,1,2014,0.0
Krachi Nchumuru,1,2015,0.0
Krachi Nchumuru,1,2016,0.0
Krachi Nchumuru,1,2017,0.0
Krachi Nchumuru,1,2018,12.0
Krachi Nchumuru,1,2019,84.0
Nkwanta North,1,1985,0.0
Nkwanta North,1,1986,0.0
Nkwanta North,1,1987,0.0
Nkwanta North,1,1988,0.0
Nkwanta North,1,1989,0.0
Nkwanta North,1,1990,27.0
Nkwanta North,1,1991,0.0
Nkwanta North,1,1992,0.0
Nkwanta North,1,1994,0.0
Nkwanta North,1,1995,0.0
Nkwanta North,1,1996,0.0
Nkwanta North,1,1997,0.0
Nkwanta North,1,1998,0.0
Nkwanta North,1,1999,0.0
Nkwanta North,1,2000,0.0
Nkwanta North,1,2001,0.0
Nkwanta North,1,2002,0.0
Nkwanta North,1,2003,0.0
Nkwanta North,1,2004,45.98039215686275
Nkwanta North,1,2005,0.0
Nkwanta North,1,2006,0.0
Nkwanta North,1,2007,0.0
Nkwanta North,1,2008,0.0
Nkwanta North,1,2009,27.0
Nkwanta North,1,2010,61.0
Nkwanta North,1,2011,36.0
Nkwanta North,1,2012,27.0
Nkwanta North,1,2013,27.0
Nkwanta North,1,2014,0.0
Nkwanta North,1,2015,0.0
Nkwanta North,1,2016,0.0
Nkwanta North,1,2017,0.0
Nkwanta North,1,2018,0.0
Nkwanta North,1,2019,29.980392156862745
Krachi West,1,1985,0.0
Krachi West,1,1986,0.0
Krachi West,1,1987,0.0
Krachi West,1,1988,0.0
Krachi West,1,1989,0.0
Krachi West,1,1990,0.0
Krachi West,1,1991,0.0
Krachi West,1,1992,0.0
Krachi West,1,1994,0.0
Krachi West,1,1995,0.0
Krachi West,1,1996,0.0
Krachi West,1,1997,0.0
Krachi West,1,1998,0.0
Krachi West,1,1999,46.0
Krachi West,1,2000,22.0
Krachi West,1,2001,0.0
Krachi West,1,2002,0.0
Krachi West,1,2003,0.0
Krachi West,1,2004,0.0
Krachi West,1,2005,0.0
Krachi West,1,2006,0.0
Krachi West,1,2007,0.0
Krachi West,1,2008,69.0
Krachi West,1,2009,80.0
Krachi West,1,2010,269.0
Krachi West,1,2011,376.0
Krachi West,1,2012,146.0
Krachi West,1,2013,91.0
Krachi West,1,2014,0.0
Krachi West,1,2015,0.0
Krachi West,1,2016,0.0
Krachi West,1,2017,0.0
Krachi West,1,2018,34.0
Krachi West,1,2019,80.0
Biakoye,1,1985,0.0
Biakoye,1,1986,0.0
Biakoye,1,1987,0.0
Biakoye,1,1988,0.0
