Region,Crops Impacted
West Mamprusi,136.41
Mamprugu Moagduri,128.06
Savelugu Nanton,96.17
Karaga,67.88
Kumbumgu,66.02
East Gonja,38.41
Saboba,25.66
Builsa South,25.31
Tolon,23.48
Kasena Nankana East,22.07
Kasena Nankana East,22.07
Kasena Nankana East,22.07
Chereponi,11.69
Nanumba North,10.46
Talensi,10.37
North Gonja,8.27
Banda,7.78
Builsa North,7.6
Bole,7
Mion,6.42
Mion,6.42
Gonja Central,6.1
Tamale North Sub Metro,5.62
Binduri,5.2
Bawku West,5.18
Pru,5.1
Lawra,4.94
Kpandai,4.72
Yendi Municipal,4.3
Sissala East,4.26
Ketu North,4.13
Garu Tempane,3.51
Mamprusi East,3.38
Nadowli / Kaleo,3.22
Bolgatanga Municipal,3.07
Asante Akim North,2.82
Bunkpurugu Yonyo,2.52
Nanumba South,2.52
Gushiegu,2.5
Sawla / Tuna / Kalba,2.39
Wa West,2.14
Jirapa,2.04
Wa East,1.92
Ketu South,1.82
Kasena Nankana West,1.76
Kasena Nankana West,1.76
Kintampo North,1.72
Akatsi South,1.53
Atebubu Amantin,1.43
Ga West,1.13
West Gonja,1.12
Shai Osu Doku,1.12
Ada West,1.08
Nandom,1.07
Zabzugu,1.04
Ada East,0.97
Ga South,0.95
Bawku Municipal,0.93
Tatale,0.89
Ejisu Juaben,0.86
Bongo,0.86
Ningo Prampram,0.85
Keta Municipal,0.81
Sene West,0.8
Central Tongu,0.8
Sekyere Central,0.79
South Tongu,0.76
Nkwanta North,0.69
North Tongu,0.68
Nkwanta South,0.64
Amansie West,0.62
Atwima Mponua,0.62
Kwahu Afram Plains North,0.53
Nsawam Adoagyiri,0.51
Asante Akim Central Municipal,0.5
Kwahu Afram Plains South,0.44
Sissala  West,0.42
Krachi West,0.4
Krachi East,0.39
Suaman,0.37
Sene East,0.31
Ga East,0.3
Fanteakwa,0.29
Nkoranza South,0.25
Atiwa,0.24
Offinso North,0.24
Pusiga,0.24
Aowin,0.23
Wassa Amenfi East,0.23
Bosome Freho,0.21
Bosome Freho,0.21
La Nkwantanang Madina,0.21
Akatsi North,0.19
North Dayi,0.18
Asante Akim South,0.18
Nabdam,0.18
Tarkwa Nsuaem,0.17
Lambussie Karni,0.17
Gomoa East,0.17
Sekyere Afram Plains North,0.16
Adenta,0.16
Awutu Senya West,0.16
Awutu Senya West,0.16
Akyem Mansa,0.15
Amansie Central,0.15
Atwima Nwabiagya,0.15
Gomoa West,0.15
Kpando Municipal,0.14
Birim North,0.14
Nzema East,0.13
Prestea / Huni Valley,0.13
Jomoro,0.12
Krachi Nchumuru,0.12
West Akim,0.12
Wenchi,0.12
Wassa Amenfi Central,0.11
Daffiama Bussie,0.11
Upper Manya,0.11
Bodi,0.1
Wassa Amenfi West,0.1
Adaklu,0.1
Biakoye,0.1
Adansi South,0.1
Tain,0.1
Sagnerigu,0.09
Bekwai Municipal,0.09
Effutu,0.09
Upper Denkyira West,0.09
Nkoranza North,0.08
Afadzato South,0.08
Ekumfi,0.08
Assin North,0.08
Ahanta West,0.07
Hohoe Municipal,0.07
Tano North,0.07
Agona West,0.07
Akwapem South,0.06
Komenda Edna Eguafo / Abirem,0.06
Kwaebibirem,0.05
Kwahu South,0.05
Kwahu South,0.05
Kwahu South,0.05
Mpohor,0.04
Kintampo South,0.04
Ho Municipal,0.04
Ho Municipal,0.04
Ho Municipal,0.04
Akwapem North,0.04
Lower Manya,0.04
Adansi North,0.04
Kpone Katamanso,0.04
Mfantsiman,0.04
Awutu Senya East Municipal,0.04
Sunyani Municipal,0.04
Wassa East,0.03
Denkyembour,0.03
Yilo Krobo,0.03
Asuogyaman,0.03
Obuasi Municipal,0.03
Berekum,0.03
Juabeso,0.02
Bia West,0.02
Agotime Ziope,0.02
South Dayi,0.02
Asutifi South,0.02
Ayensuano,0.02
Birim South,0.02
New Juaben Municipal,0.02
Sekyere East,0.02
Atwima Kwanwoma,0.02
Ahafo Ano South,0.02
Accra Metropolis,0.02
Ga Central Municipal,0.02
Ajumako / Enyan / Esiam,0.02
Cape Coast Metro,0.02
Agona East,0.02
Sefwi Bibiani / Anhwiaso Bekwai,0.01
Sefwi-Wiawso,0.01
Techiman Municipal,0.01
Ho West,0.01
Ho West,0.01
Tano South,0.01
East Akim,0.01
Mampong Municipal,0.01
Kma,0.01
Bosomtwe / Atwima / Kwanwoma,0.01
Tema Metropolis,0.01
La Dade Kotopon,0.01
Upper Denkyira East,0.01
Sunyani West,0.01
Bia East,0
Sefwi Akontombra,0
Sekondi Takoradi,0
Shama,0
Ellembelle,0
Techiman North,0
Asunafo North,0
Asunafo South,0
Asutifi North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Wa Municipal,0
Upper West Akim,0
Birim Municipal,0
Suhum Municipal,0
Kwahu East,0
Kwahu West,0
Asokore Mampong Municipal,0
Kwabre,0
Sekyere South,0
Sekyere Kumawu,0
Ahafo Ano North,0
Offinso Municipal,0
Ejura Sekye Dumase,0
Afigya Kwabre,0
Ledzokuku / Krowor,0
Ashaiman,0
Assin South,0
Twifo Ati-Morkwa,0
Abura / Asebu / Kwamankese,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Dormaa East,0
