Region,Crops Impacted
West Mamprusi,94.3
Karaga,72.79
Mamprugu Moagduri,70.53
Savelugu Nanton,64.34
Kumbumgu,49.49
Chereponi,45.27
Saboba,42.13
Tolon,21.14
Builsa South,15.59
Kasena Nankana East,11.65
Kasena Nankana East,11.65
Kasena Nankana East,11.65
North Gonja,11.48
East Gonja,10.16
Pru,7.56
Talensi,7.45
Gonja Central,6.38
Kwahu Afram Plains North,6.25
Bunkpurugu Yonyo,5.02
Yendi Municipal,4.61
Kwahu Afram Plains South,4.53
Nanumba North,4.18
Nanumba South,3.93
Mamprusi East,3.57
Builsa North,3.24
Gushiegu,2.87
Nkwanta North,2.75
Mion,2.74
Mion,2.74
Tamale North Sub Metro,2.43
Asante Akim North,2.25
Zabzugu,2.14
Krachi East,2.09
Sissala East,2.07
Kpandai,2
Binduri,1.82
Tatale,1.7
Bawku West,1.59
Fanteakwa,1.43
Sene East,1.37
West Gonja,1.32
Krachi Nchumuru,1.23
Kasena Nankana West,1.1
Kasena Nankana West,1.1
Lawra,1.05
Kintampo North,0.98
Wa East,0.95
Garu Tempane,0.94
Bolgatanga Municipal,0.82
Kwahu South,0.81
Kwahu South,0.81
Upper Manya,0.81
Kwahu South,0.81
Krachi West,0.72
Bawku Municipal,0.66
Nadowli / Kaleo,0.65
Jirapa,0.64
Nandom,0.43
Biakoye,0.4
Sene West,0.39
Bongo,0.34
Akatsi South,0.32
Wa West,0.3
Bole,0.3
Nkwanta South,0.25
North Dayi,0.2
Central Tongu,0.19
Afadzato South,0.16
South Dayi,0.16
Pusiga,0.1
Asuogyaman,0.08
Kpando Municipal,0.06
Sagnerigu,0.06
Ahanta West,0.05
Bodi,0.04
South Tongu,0.04
Daffiama Bussie,0.04
Lower Manya,0.04
Banda,0.04
Sekyere Afram Plains North,0.03
Nabdam,0.03
Aowin,0.02
Kwahu East,0.02
Amansie West,0.02
Ga South,0.02
Ekumfi,0.02
Sunyani Municipal,0.02
Juabeso,0.01
Prestea / Huni Valley,0.01
Lambussie Karni,0.01
Wa Municipal,0.01
Ayensuano,0.01
Nsawam Adoagyiri,0.01
Ga West,0.01
Awutu Senya West,0.01
Mfantsiman,0.01
Effutu,0.01
Awutu Senya West,0.01
Sefwi Bibiani / Anhwiaso Bekwai,0
Sefwi-Wiawso,0
Bia East,0
Suaman,0
Bia West,0
Sefwi Akontombra,0
Tarkwa Nsuaem,0
Nzema East,0
Wassa Amenfi Central,0
Wassa Amenfi East,0
Wassa East,0
Sekondi Takoradi,0
Jomoro,0
Shama,0
Wassa Amenfi West,0
Ellembelle,0
Mpohor,0
Kintampo South,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Atebubu Amantin,0
Techiman North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
Ho West,0
Akatsi North,0
Ketu South,0
Ketu North,0
Hohoe Municipal,0
Keta Municipal,0
North Tongu,0
Adaklu,0
Asunafo North,0
Asunafo South,0
Asutifi South,0
Asutifi North,0
Tano South,0
Tano North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Sissala  West,0
Sawla / Tuna / Kalba,0
Denkyembour,0
Kwaebibirem,0
Yilo Krobo,0
Akwapem North,0
Upper West Akim,0
Birim Municipal,0
East Akim,0
Birim South,0
West Akim,0
Atiwa,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
New Juaben Municipal,0
Birim North,0
Kwahu West,0
Asokore Mampong Municipal,0
Kwabre,0
Bosome Freho,0
Asante Akim South,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Bosome Freho,0
Asante Akim Central Municipal,0
Sekyere East,0
Offinso North,0
Ejisu Juaben,0
Adansi North,0
Amansie Central,0
Obuasi Municipal,0
Sekyere Central,0
Ahafo Ano North,0
Kma,0
Bosomtwe / Atwima / Kwanwoma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Ejura Sekye Dumase,0
Adansi South,0
Atwima Mponua,0
Atwima Nwabiagya,0
Bekwai Municipal,0
Afigya Kwabre,0
Ledzokuku / Krowor,0
Adenta,0
Kpone Katamanso,0
Tema Metropolis,0
La Nkwantanang Madina,0
Shai Osu Doku,0
Ada West,0
Accra Metropolis,0
Ga Central Municipal,0
Ningo Prampram,0
Ada East,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Ajumako / Enyan / Esiam,0
Twifo Ati-Morkwa,0
Abura / Asebu / Kwamankese,0
Agona West,0
Komenda Edna Eguafo / Abirem,0
Cape Coast Metro,0
Gomoa West,0
Gomoa East,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Upper Denkyira East,0
Assin North,0
Agona East,0
Upper Denkyira West,0
Awutu Senya East Municipal,0
Sunyani West,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Tain,0
