Region,Crops Impacted
Savelugu Nanton,39.96
West Mamprusi,38.76
East Gonja,32.87
Kumbumgu,24.08
Mamprugu Moagduri,18.9
Pru,17.77
Kwahu Afram Plains North,16.88
Saboba,13.41
Kpandai,12.78
Karaga,12.46
Krachi East,8.58
Nanumba North,8.57
Tolon,7.72
Chereponi,7.65
Kwahu Afram Plains South,7.53
Krachi Nchumuru,7.51
Sene East,7.31
Gonja Central,5.46
Builsa South,4.86
Kintampo North,4.74
Ada West,4.69
North Gonja,4.08
Krachi West,3.79
Ketu South,2.86
Bole,2.62
Nanumba South,2.43
Mion,2.38
Mion,2.38
Nkwanta North,2.31
Fanteakwa,2.28
Ada East,2.23
Kasena Nankana East,2.19
Kasena Nankana East,2.19
Kasena Nankana East,2.19
Lawra,1.92
Yendi Municipal,1.83
Sene West,1.76
Banda,1.69
Upper Manya,1.51
Biakoye,1.24
Kwahu South,1.19
Kwahu South,1.19
Kwahu South,1.19
Jirapa,1.04
Nadowli / Kaleo,0.99
Bawku West,0.99
Garu Tempane,0.96
Binduri,0.92
Asante Akim North,0.91
Keta Municipal,0.87
Kasena Nankana West,0.7
Kasena Nankana West,0.7
Bunkpurugu Yonyo,0.66
Wa East,0.65
Nkwanta South,0.62
Tamale North Sub Metro,0.6
Sissala East,0.58
Bongo,0.53
Wa West,0.52
Ga South,0.52
Nandom,0.49
Builsa North,0.49
Shai Osu Doku,0.49
Ketu North,0.46
Talensi,0.45
South Tongu,0.38
Amansie West,0.37
West Gonja,0.36
Central Tongu,0.34
North Tongu,0.34
Wassa East,0.31
Atwima Mponua,0.31
South Dayi,0.3
Zabzugu,0.29
Asuogyaman,0.27
Bolgatanga Municipal,0.26
Ekumfi,0.26
Tarkwa Nsuaem,0.22
Mamprusi East,0.21
Tatale,0.2
Bawku Municipal,0.2
Effutu,0.2
Upper Denkyira West,0.18
Prestea / Huni Valley,0.17
Kpone Katamanso,0.17
Akatsi South,0.16
Lambussie Karni,0.15
Sawla / Tuna / Kalba,0.14
Gushiegu,0.14
Ningo Prampram,0.14
Sefwi Bibiani / Anhwiaso Bekwai,0.12
North Dayi,0.12
Sissala  West,0.12
Atiwa,0.12
Obuasi Municipal,0.12
Nzema East,0.09
Wassa Amenfi East,0.09
Afadzato South,0.09
Kpando Municipal,0.08
Pusiga,0.08
Denkyembour,0.07
Adenta,0.07
Wassa Amenfi Central,0.06
Ahanta West,0.06
Jomoro,0.06
Asutifi North,0.06
Kwahu East,0.06
Kintampo South,0.05
Wa Municipal,0.05
Yilo Krobo,0.05
Lower Manya,0.05
Amansie Central,0.05
Adansi South,0.05
Twifo Ati-Morkwa,0.05
Awutu Senya West,0.05
Mfantsiman,0.05
Awutu Senya West,0.05
Assin North,0.05
Wassa Amenfi West,0.04
Adaklu,0.04
Awutu Senya East Municipal,0.04
Shama,0.03
Akatsi North,0.03
Daffiama Bussie,0.03
Gomoa West,0.03
Birim North,0.02
Sagnerigu,0.02
Nabdam,0.02
Aowin,0.01
Atebubu Amantin,0.01
Kwaebibirem,0.01
West Akim,0.01
Kwahu West,0.01
Atwima Kwanwoma,0.01
Ahafo Ano South,0.01
Ejura Sekye Dumase,0.01
Atwima Nwabiagya,0.01
Bekwai Municipal,0.01
Tema Metropolis,0.01
Ga West,0.01
Gomoa East,0.01
Upper Denkyira East,0.01
Agona East,0.01
Sefwi-Wiawso,0
Juabeso,0
Bia East,0
Suaman,0
Bia West,0
Bodi,0
Sefwi Akontombra,0
Sekondi Takoradi,0
Ellembelle,0
Mpohor,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Techiman North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
Ho West,0
Hohoe Municipal,0
Asunafo North,0
Asunafo South,0
Asutifi South,0
Tano South,0
Tano North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Akwapem North,0
Upper West Akim,0
Birim Municipal,0
Ayensuano,0
East Akim,0
Birim South,0
Nsawam Adoagyiri,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
New Juaben Municipal,0
Asokore Mampong Municipal,0
Kwabre,0
Bosome Freho,0
Asante Akim South,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Bosome Freho,0
Asante Akim Central Municipal,0
Sekyere East,0
Offinso North,0
Ejisu Juaben,0
Adansi North,0
Sekyere Central,0
Sekyere Afram Plains North,0
Ahafo Ano North,0
Kma,0
Bosomtwe / Atwima / Kwanwoma,0
Offinso Municipal,0
Afigya Kwabre,0
Ledzokuku / Krowor,0
La Nkwantanang Madina,0
Accra Metropolis,0
Ga Central Municipal,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Ajumako / Enyan / Esiam,0
Abura / Asebu / Kwamankese,0
Agona West,0
Komenda Edna Eguafo / Abirem,0
Cape Coast Metro,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Sunyani West,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Sunyani Municipal,0
Tain,0
