Region,02Year,05Year,10Year,15Year,20Year
Abura / Asebu / Kwamankese,0.0,0.0,0.0,0.0,0.0
Accra Metropolis,0.0,0.0,0.0,0.0,0.01
Ada East,0.54,1.86,2.23,2.37,2.64
Ada West,2.19,4.31,4.69,4.87,5.14
Adaklu,0.0,0.01,0.04,0.05,0.06
Adansi North,0.0,0.0,0.0,0.0,0.0
Adansi South,0.0,0.01,0.05,0.07,0.11
Adenta,0.0,0.03,0.07,0.08,0.1
Afadzato South,0.0,0.01,0.09,0.2,0.38
Afigya Kwabre,0.0,0.0,0.0,0.0,0.01
Agona East,0.0,0.0,0.01,0.02,0.02
Agona West,0.0,0.0,0.0,0.0,0.0
Agotime Ziope,0.0,0.0,0.0,0.0,0.01
Ahafo Ano North,0.0,0.0,0.0,0.0,0.02
Ahafo Ano South,0.0,0.0,0.01,0.01,0.02
Ahanta West,0.0,0.05,0.06,0.07,0.07
Ajumako / Enyan / Esiam,0.0,0.0,0.0,0.0,0.02
Akatsi North,0.0,0.01,0.03,0.04,0.06
Akatsi South,0.02,0.07,0.16,0.22,0.52
Akwapem North,0.0,0.0,0.0,0.0,0.0
Akwapem South,0.0,0.0,0.0,0.01,0.02
Akyem Mansa,0.0,0.0,0.0,0.0,0.0
Amansie Central,0.0,0.0,0.05,0.1,0.21
Amansie West,0.0,0.07,0.37,0.65,1.15
Aowin,0.0,0.0,0.01,0.02,0.03
Asante Akim Central Municipal,0.0,0.0,0.0,0.01,0.03
Asante Akim North,0.0,0.2,0.91,1.49,2.98
Asante Akim South,0.0,0.0,0.0,0.0,0.01
Ashaiman,0.0,0.0,0.0,0.0,0.0
Asikuma / Odoben / Brakwa,0.0,0.0,0.0,0.0,0.0
Asokore Mampong Municipal,0.0,0.0,0.0,0.0,0.0
Assin North,0.0,0.01,0.05,0.07,0.1
Assin South,0.0,0.0,0.0,0.0,0.0
Asunafo North,0.0,0.0,0.0,0.0,0.0
Asunafo South,0.0,0.0,0.0,0.0,0.0
Asuogyaman,0.04,0.11,0.27,0.35,0.44
Asutifi North,0.0,0.01,0.06,0.07,0.1
Asutifi South,0.0,0.0,0.0,0.0,0.01
Atebubu Amantin,0.0,0.0,0.01,0.07,0.39
Atiwa,0.0,0.0,0.12,0.31,0.77
Atwima Kwanwoma,0.0,0.0,0.01,0.03,0.05
Atwima Mponua,0.0,0.02,0.31,0.53,0.8
Atwima Nwabiagya,0.0,0.0,0.01,0.01,0.06
Awutu Senya East Municipal,0.0,0.02,0.04,0.05,0.07
Awutu Senya West,0.0,0.01,0.05,0.08,0.13
Ayensuano,0.0,0.0,0.0,0.0,0.01
Banda,0.04,0.08,1.69,2.98,4.4
Bawku Municipal,0.02,0.15,0.2,0.23,0.3
Bawku West,0.34,0.79,0.99,1.14,1.8
Bekwai Municipal,0.0,0.01,0.01,0.01,0.02
Berekum,0.0,0.0,0.0,0.0,0.0
Bia East,0.0,0.0,0.0,0.0,0.0
Bia West,0.0,0.0,0.0,0.0,0.0
Biakoye,0.08,0.16,1.24,1.94,2.84
Binduri,0.32,0.65,0.92,1.33,2.61
Birim Municipal,0.0,0.0,0.0,0.01,0.02
Birim North,0.0,0.0,0.02,0.05,0.11
Birim South,0.0,0.0,0.0,0.0,0.0
Bodi,0.0,0.0,0.0,0.0,0.0
Bole,1.4,1.86,2.62,3.53,5.41
Bolgatanga Municipal,0.04,0.11,0.26,0.38,0.7
Bongo,0.26,0.43,0.53,0.57,0.64
Bosome Freho,0.0,0.0,0.0,0.01,0.03
Bosomtwe / Atwima / Kwanwoma,0.0,0.0,0.0,0.01,0.01
Builsa North,0.05,0.36,0.49,0.58,0.9
Builsa South,0.07,1.23,4.86,7.43,13.0
