Region,02Year,05Year,10Year,15Year,20Year
Abura / Asebu / Kwamankese,0.0,0.03,0.13,0.18,0.24
Accra Metropolis,0.03,0.23,0.3,0.33,0.41
Ada East,24.27,37.05,39.18,40.33,42.67
Ada West,33.67,43.25,45.84,47.15,49.39
Adaklu,0.0,0.13,0.18,0.2,0.23
Adansi North,0.0,0.0,0.01,0.01,0.03
Adansi South,0.0,0.18,0.92,1.43,2.18
Adenta,0.02,0.31,0.37,0.39,0.42
Afadzato South,10.78,13.78,15.67,16.21,16.91
Afigya Kwabre,0.0,0.11,0.16,0.18,0.22
Agona East,0.0,0.05,0.08,0.09,0.11
Agona West,0.0,0.0,0.0,0.0,0.0
Agotime Ziope,0.0,0.01,0.01,0.04,0.1
Ahafo Ano North,0.0,0.0,0.0,0.0,0.06
Ahafo Ano South,0.0,0.01,0.02,0.05,0.09
Ahanta West,0.0,2.33,3.06,3.31,3.67
Ajumako / Enyan / Esiam,0.0,0.26,0.35,0.36,0.46
Akatsi North,0.0,0.08,0.16,0.19,0.22
Akatsi South,2.18,2.72,2.92,3.12,3.85
Akwapem North,0.0,0.0,0.0,0.0,0.0
Akwapem South,0.0,0.01,0.02,0.02,0.05
Akyem Mansa,0.0,0.0,0.0,0.01,0.02
Amansie Central,0.0,0.04,0.96,1.87,3.58
Amansie West,0.0,0.33,3.17,5.96,10.77
Aowin,0.0,0.49,1.36,1.74,2.37
Asante Akim Central Municipal,0.0,0.01,0.05,0.11,0.24
Asante Akim North,0.0,11.46,20.81,24.53,27.98
Asante Akim South,0.0,0.0,0.0,0.02,0.05
Ashaiman,0.0,0.01,0.01,0.02,0.02
Asikuma / Odoben / Brakwa,0.0,0.0,0.0,0.0,0.0
Asokore Mampong Municipal,0.0,0.0,0.0,0.0,0.0
Assin North,0.01,1.5,2.67,3.24,3.93
Assin South,0.0,0.0,0.0,0.0,0.0
Asunafo North,0.0,0.0,0.0,0.0,0.01
Asunafo South,0.0,0.0,0.0,0.0,0.0
Asuogyaman,257.25,262.93,264.86,265.61,266.64
Asutifi North,0.0,1.07,2.02,2.38,2.76
Asutifi South,0.0,0.0,0.01,0.01,0.02
Atebubu Amantin,0.01,0.05,0.25,0.55,1.39
Atiwa,0.0,0.02,0.47,1.22,2.73
Atwima Kwanwoma,0.0,0.06,0.11,0.15,0.2
Atwima Mponua,0.0,0.1,1.82,3.31,5.5
Atwima Nwabiagya,0.43,2.95,3.12,3.2,3.37
Awutu Senya East Municipal,0.0,0.11,0.16,0.17,0.21
Awutu Senya West,0.01,0.2,0.35,0.45,0.59
Ayensuano,0.0,0.0,0.0,0.0,0.02
Banda,2.38,128.12,197.27,201.53,205.87
Bawku Municipal,0.19,0.53,0.62,0.68,0.8
Bawku West,1.88,3.87,4.63,5.09,6.27
Bekwai Municipal,0.0,0.01,0.02,0.04,0.12
Berekum,0.0,0.0,0.01,0.02,0.04
Bia East,0.0,0.0,0.0,0.0,0.0
Bia West,0.0,0.0,0.0,0.0,0.0
Biakoye,317.45,334.34,341.37,343.44,345.68
Binduri,2.55,4.24,4.91,5.58,7.46
Birim Municipal,0.0,0.05,0.18,0.46,0.75
Birim North,0.0,0.05,1.2,1.45,1.84
Birim South,0.0,0.0,0.02,0.03,0.06
Bodi,0.0,0.0,0.0,0.0,0.0
Bole,11.43,112.58,163.05,167.92,173.85
Bolgatanga Municipal,0.1,0.42,0.67,0.85,1.26
Bongo,4.4,5.07,5.3,5.4,5.53
Bosome Freho,0.0,0.0,0.02,0.05,0.13
Bosomtwe / Atwima / Kwanwoma,46.24,46.56,46.73,46.87,47.01
Builsa North,3.79,4.42,5.06,5.27,5.82
Builsa South,0.17,1.83,6.27,9.41,16.79
Bunkpurugu Yonyo,0.01,0.85,1.83,2.58,4.15
Cape Coast Metro,0.38,0.72,0.81,0.84,0.91
Central Tongu,2.43,8.58,9.46,10.07,10.95
