Region,People Impacted
Gonja Central,1330
East Gonja,1014
Yendi Municipal,845
Komenda Edna Eguafo / Abirem,644
Saboba,419
Krachi East,330
Karaga,300
Sene East,242
Accra Metropolis,205
Savelugu Nanton,178
West Mamprusi,165
Ga South,141
Asunafo South,140
Shama,130
Nanumba North,120
Zabzugu,112
Kpandai,112
Kwahu Afram Plains South,105
Ahanta West,100
Nsawam Adoagyiri,88
Wa East,85
Nkwanta North,81
Krachi West,76
Kwahu Afram Plains North,75
Chereponi,55
Builsa North,48
Juabeso,45
Kintampo North,45
Kasena Nankana East,43
Kasena Nankana East,43
Kasena Nankana East,43
Gushiegu,42
Mamprugu Moagduri,40
Nkwanta South,34
North Gonja,33
Kumbumgu,32
Effutu,32
Pru,30
Mion,26
Mion,26
Krachi Nchumuru,24
Gomoa East,24
Ekumfi,22
South Dayi,21
Asuogyaman,21
Sene West,20
Kwahu South,18
Kwahu South,18
Kwahu South,18
Builsa South,16
Afadzato South,14
Bunkpurugu Yonyo,14
Keta Municipal,12
Jirapa,12
Mamprusi East,12
Tamale North Sub Metro,12
West Gonja,11
Mfantsiman,11
Fanteakwa,10
Kpando Municipal,9
North Dayi,9
Bongo,9
Awutu Senya East Municipal,9
Nzema East,8
La Nkwantanang Madina,8
Awutu Senya West,8
Awutu Senya West,8
Bole,7
Lower Manya,7
Biakoye,5
Bolgatanga Municipal,5
Sefwi Bibiani / Anhwiaso Bekwai,0
Sefwi-Wiawso,0
Bia East,0
Suaman,0
Bia West,0
Bodi,0
Aowin,0
Sefwi Akontombra,0
Tarkwa Nsuaem,0
Wassa Amenfi Central,0
Wassa Amenfi East,0
Wassa East,0
Sekondi Takoradi,0
Jomoro,0
Wassa Amenfi West,0
Ellembelle,0
Prestea / Huni Valley,0
Mpohor,0
Kintampo South,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Atebubu Amantin,0
Techiman North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
South Tongu,0
Central Tongu,0
Ho West,0
Akatsi North,0
Ketu South,0
Ketu North,0
Hohoe Municipal,0
North Tongu,0
Akatsi South,0
Adaklu,0
Asunafo North,0
Asutifi South,0
Asutifi North,0
Tano South,0
Tano North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Nadowli / Kaleo,0
Lawra,0
Nandom,0
Sissala East,0
Sissala  West,0
Lambussie Karni,0
Wa West,0
Daffiama Bussie,0
Wa Municipal,0
Sawla / Tuna / Kalba,0
Denkyembour,0
Kwaebibirem,0
Yilo Krobo,0
Akwapem North,0
Upper West Akim,0
Birim Municipal,0
Ayensuano,0
East Akim,0
Birim South,0
West Akim,0
Atiwa,0
Upper Manya,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
Kwahu East,0
New Juaben Municipal,0
Birim North,0
Kwahu West,0
Tolon,0
Sagnerigu,0
Tatale,0
Nanumba South,0
Asokore Mampong Municipal,0
Kwabre,0
Bosome Freho,0
Asante Akim South,0
Asante Akim North,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Bosome Freho,0
Asante Akim Central Municipal,0
Sekyere East,0
Offinso North,0
Ejisu Juaben,0
Adansi North,0
Amansie Central,0
Obuasi Municipal,0
Sekyere Central,0
Sekyere Afram Plains North,0
Amansie West,0
Ahafo Ano North,0
Kma,0
Bosomtwe / Atwima / Kwanwoma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Ejura Sekye Dumase,0
Adansi South,0
Atwima Mponua,0
Atwima Nwabiagya,0
Bekwai Municipal,0
Afigya Kwabre,0
Kasena Nankana West,0
Binduri,0
Kasena Nankana West,0
Bawku West,0
Pusiga,0
Bawku Municipal,0
Garu Tempane,0
Talensi,0
Nabdam,0
Ledzokuku / Krowor,0
Adenta,0
Kpone Katamanso,0
Tema Metropolis,0
Shai Osu Doku,0
Ada West,0
Ga Central Municipal,0
Ningo Prampram,0
Ada East,0
Ga West,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Ajumako / Enyan / Esiam,0
Twifo Ati-Morkwa,0
Abura / Asebu / Kwamankese,0
Agona West,0
Cape Coast Metro,0
Gomoa West,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Upper Denkyira East,0
Assin North,0
Agona East,0
Upper Denkyira West,0
Banda,0
Sunyani West,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Sunyani Municipal,0
Tain,0
