|,|__District,|__Total_Population,|__Data__deployment_id,|__Data__dtime_start,|__Data__dtime_end,|__Data__value,|__Total_Cropland_km2,|__Total_RoadLength_m,|__Total_Area_km2,|__Total_Hospitals,|__Total_Markets,|__Total_Schools
Population_Impacts,La Dade Kotopon,394390,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,7906,,,,,,
,Sekondi Takoradi,651924,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,6679,,,,,,
,Agona West,124270,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,6526,,,,,,
,Komenda Edna Eguafo / Abirem,162663,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,5698,,,,,,
,Accra Metropolis,1836282,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,3724,,,,,,
,Cape Coast Metro,207879,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,3119,,,,,,
,Shama,175019,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,2689,,,,,,
,Gonja Central,94866,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,2424,,,,,,
,Karaga,102458,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1928,,,,,,
,Krachi East,133791,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1866,,,,,,
,Gomoa West,133838,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1859,,,,,,
,East Gonja,157291,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1831,,,,,,
,Ahanta West,115998,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1807,,,,,,
,Ga South,447604,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1591,,,,,,
,Mfantsiman,146804,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1573,,,,,,
,Saboba,77358,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1360,,,,,,
,Kwahu Afram Plains North,150668,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1230,,,,,,
,Sene West,66782,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1200,,,,,,
,Yendi Municipal,143666,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1158,,,,,,
,Garu Tempane,137481,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1146,,,,,,
,Ellembelle,86535,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1088,,,,,,
,East Akim,185420,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1071,,,,,,
,Birim Municipal,142428,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1020,,,,,,
,Bawku West,98389,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1010,,,,,,
,Sene East,74054,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,994,,,,,,
,Gushiegu,116445,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,985,,,,,,
,Ada West,72523,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,977,,,,,,
,Jomoro,178878,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,963,,,,,,
,Krachi West,78083,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,896,,,,,,
,Ada East,85348,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,872,,,,,,
,Mamprusi East,128421,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,866,,,,,,
,Kpone Katamanso,244597,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,816,,,,,,
,West Mamprusi,151946,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,795,,,,,,
,Ekumfi,67707,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,781,,,,,,
,Obuasi Municipal,201494,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,749,,,,,,
,Birim South,169884,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,737,,,,,,
,Nkwanta North,80101,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,711,,,,,,
,Sagnerigu,189375,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,684,,,,,,
,Ajumako / Enyan / Esiam,168263,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,672,,,,,,
,Upper Denkyira West,67099,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,670,,,,,,
,Kwaebibirem,115441,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,664,,,,,,
,Effutu,82266,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,640,,,,,,
,Savelugu Nanton,172696,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,619,,,,,,
,Kma,2380937,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,600,,,,,,
,Tarkwa Nsuaem,84595,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,600,,,,,,
,Wassa East,50096,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,594,,,,,,
,Nanumba South,144562,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,565,,,,,,
,Keta Municipal,154372,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,548,,,,,,
,Bunkpurugu Yonyo,148530,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,527,,,,,,
,Gomoa East,320285,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,511,,,,,,
,Assin North,191135,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,510,,,,,,
,Birim North,94700,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,507,,,,,,
,Asikuma / Odoben / Brakwa,125655,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,504,,,,,,
,Aowin,110762,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,495,,,,,,
,Adansi South,105497,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,495,,,,,,
,Atiwa,136856,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,477,,,,,,
,Krachi Nchumuru,82612,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,474,,,,,,
,Ketu South,232578,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,470,,,,,,
,Asunafo North,139313,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,458,,,,,,
,Nzema East,48389,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,449,,,,,,
,Pusiga,60163,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,447,,,,,,
,Nkwanta South,123544,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,439,,,,,,
,West Akim,127673,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,435,,,,,,
,Amansie West,152757,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,428,,,,,,
,Sefwi-Wiawso,153649,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,418,,,,,,
,Adansi North,100975,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,412,,,,,,
,Wassa Amenfi East,86159,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,396,,,,,,
,Kpandai,123983,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,384,,,,,,
,Bolgatanga Municipal,151813,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,383,,,,,,
,Asuogyaman,106340,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,364,,,,,,
,Nanumba North,156712,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,360,,,,,,
,Juabeso,60033,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,351,,,,,,
,Chereponi,58957,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,321,,,,,,
,Prestea / Huni Valley,162458,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,312,,,,,,
,Ga West,322340,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,307,,,,,,
,South Tongu,105100,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,304,,,,,,
,Kwahu Afram Plains South,115738,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,300,,,,,,
,Akyem Mansa,112059,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,300,,,,,,
,Wa East,92319,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,258,,,,,,
,Kasena Nankana East,99048,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,256,,,,,,
,Upper West Akim,93724,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,255,,,,,,
,North Tongu,89232,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,232,,,,,,
,Kwahu West,91718,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,230,,,,,,
,Assin South,122720,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,226,,,,,,
,Afadzato South,122251,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,224,,,,,,
,Sekyere East,35512,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,224,,,,,,
,Asunafo South,105071,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,216,,,,,,
,Wa Municipal,111837,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,213,,,,,,
,Mamprugu Moagduri,51075,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,210,,,,,,
,Bodi,36930,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,207,,,,,,
,Kasena Nankana West,83837,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,206,,,,,,
,Kumbumgu,55587,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,206,,,,,,
,Mpohor,72578,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,204,,,,,,
,Ahafo Ano South,105888,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,200,,,,,,
,Agona East,99912,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,193,,,,,,
,Nsawam Adoagyiri,94527,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,192,,,,,,
,Zabzugu,74137,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,192,,,,,,
,Denkyembour,78695,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,189,,,,,,
,La Nkwantanang Madina,135401,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,188,,,,,,
,Dormaa Municipal,137201,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,176,,,,,,
,Abura / Asebu / Kwamankese,135776,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,176,,,,,,
,North Gonja,32806,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,176,,,,,,
,Asutifi South,57398,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,174,,,,,,
,Amansie Central,54540,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,173,,,,,,
,Tatale,82385,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,162,,,,,,
,Bawku Municipal,103139,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,160,,,,,,
,Bongo,83739,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,153,,,,,,
,Awutu Senya East Municipal,135830,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,147,,,,,,
,Ga East,163158,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,144,,,,,,
,Central Tongu,63000,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,140,,,,,,
,Sekyere South,135225,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,140,,,,,,
,Atwima Nwabiagya,168888,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,140,,,,,,
,Binduri,41032,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,140,,,,,,
,Atebubu Amantin,135334,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,138,,,,,,
,New Juaben Municipal,198113,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,132,,,,,,
,Talensi,61590,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,132,,,,,,
,Nandom,50736,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,127,,,,,,
,Sunyani Municipal,100841,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,125,,,,,,
,Ejisu Juaben,143552,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,125,,,,,,
,Pru,143365,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,124,,,,,,
,Ningo Prampram,69309,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,120,,,,,,
,Asante Akim South,126170,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,120,,,,,,
,Asante Akim Central Municipal,79301,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,120,,,,,,
,Wassa Amenfi West,91210,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,120,,,,,,
,Sawla / Tuna / Kalba,95947,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,120,,,,,,
,Adenta,77346,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,114,,,,,,
,Shai Osu Doku,49712,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,113,,,,,,
,Lambussie Karni,60477,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,105,,,,,,
,Mion,94520,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,104,,,,,,
,Builsa North,72926,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,104,,,,,,
,Biakoye,92607,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,102,,,,,,
,Fanteakwa,120329,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,100,,,,,,
,Awutu Senya West,54603,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,98,,,,,,
,Kintampo North,106304,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,96,,,,,,
,Kwahu South,71152,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,96,,,,,,
,Twifo Ati-Morkwa,89633,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,91,,,,,,
,Upper Manya,70739,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,91,,,,,,
,Suaman,24380,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,89,,,,,,
,Sefwi Akontombra,95447,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,85,,,,,,
,Nadowli / Kaleo,56516,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,84,,,,,,
,Ayensuano,94527,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,80,,,,,,
,South Dayi,49336,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,77,,,,,,
,Builsa South,30955,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,72,,,,,,
