Region,20201007_20201014,20200902_20200909,20190901_20190920,20200930_20201007,20200916_20200923,20200715_20200722,20200923_20200930,20200722_20200729,20200826_20200902,20200819_20200826,20200805_20200812,20200909_20200916,20201014_20201021,20180815_20181015,20200812_20200819
Abura / Asebu / Kwamankese,0,0,540,0,0,0,80,0,0,0,16,0,0,0,0.0
Accra Metropolis,332,162,8143,205,0,496,0,164,0,0,106,0,283,0,82.0
Ada East,0,550,802,0,0,40,0,50,0,0,62,100,840,0,104.0
Ada West,0,334,1338,0,0,20,0,0,0,30,216,0,2073,0,270.0
Adaklu,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0.0
Adansi North,18,0,0,0,0,0,0,9,0,153,9,0,128,0,0.0
Adansi South,0,0,0,0,0,0,279,72,0,75,0,0,114,0,0.0
Adenta,0,0,162,0,0,0,0,0,0,16,0,0,0,0,0.0
Afadzato South,0,0,280,14,28,0,28,0,0,0,0,0,112,0,196.0
Afigya Kwabre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Agona East,0,0,662,0,0,0,0,12,0,0,24,0,252,0,12.0
Agona West,1404,0,318,0,0,0,0,39,0,143,0,0,0,0,0.0
Agotime Ziope,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0.0
Ahafo Ano North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ahafo Ano South,8,0,0,0,0,0,136,0,0,0,0,0,0,0,0.0
Ahanta West,0,95,531,100,0,238,0,31,0,9,45,0,45,0,1113.0
Ajumako / Enyan / Esiam,140,0,812,0,0,0,0,140,0,420,0,0,0,0,
Akatsi North,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0.0
Akatsi South,0,0,1341,0,0,0,0,0,0,0,0,0,0,0,9.0
Akwapem North,0,0,597,0,0,0,0,0,0,0,0,0,11,0,0.0
Akwapem South,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0.0
Akyem Mansa,0,0,228,0,0,0,0,24,0,0,0,0,144,0,0.0
Amansie Central,0,0,172,0,0,0,9,0,0,0,12,0,84,0,0.0
Amansie West,9,0,451,0,0,0,27,0,27,97,63,0,171,0,0.0
Aowin,140,18,1654,0,190,7,0,40,0,0,0,0,134,0,0.0
Asante Akim Central Municipal,0,0,20,0,0,0,0,0,0,24,32,0,16,0,0.0
Asante Akim North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Asante Akim South,0,0,456,0,0,0,0,0,0,0,0,0,0,0,0.0
Ashaiman,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0.0
Asikuma / Odoben / Brakwa,252,0,0,0,0,0,0,0,0,0,0,0,108,0,0.0
Asokore Mampong Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Assin North,75,0,0,0,0,0,0,0,0,120,0,0,0,0,0.0
Assin South,0,0,234,0,0,0,0,108,0,0,0,0,0,0,0.0
Asunafo North,0,0,0,0,458,0,0,0,0,0,0,0,8,0,0.0
Asunafo South,0,0,0,140,0,0,0,0,0,0,0,0,0,0,38.0
Asuogyaman,14,0,631,21,0,119,14,0,7,0,63,7,224,0,161.0
Asutifi North,0,0,6,0,0,0,0,6,0,0,0,0,54,0,0.0
Asutifi South,0,0,0,0,150,0,0,12,0,0,0,0,0,0,30.0
Atebubu Amantin,0,0,578,0,0,0,0,0,0,22,0,0,0,0,0.0
Atiwa,0,9,180,0,0,0,0,27,0,99,81,0,0,0,10.0
Atwima Kwanwoma,4,0,16,0,0,0,0,0,0,2,0,0,0,0,0.0
Atwima Mponua,0,0,162,0,0,0,0,0,0,0,18,0,63,0,0.0
Atwima Nwabiagya,12,0,0,0,60,0,0,4,0,0,0,0,24,0,0.0
Awutu Senya East Municipal,8,0,2432,9,0,18,0,56,0,0,0,0,0,0,0.0
Awutu Senya West,8,0,32,8,0,110,0,0,0,0,0,0,0,0,
Ayensuano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Banda,35,0,386,0,0,0,0,8,0,0,0,0,0,0,0.0
Bawku Municipal,0,0,6,0,126,0,6,0,0,0,0,6,0,489,0.0
Bawku West,0,98,32,0,544,16,0,8,31,0,0,47,0,96,0.0
Bekwai Municipal,0,0,512,0,0,0,0,0,0,0,14,0,540,0,0.0
Berekum,0,0,440,0,0,0,0,0,0,0,0,0,40,0,0.0
Bia East,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7.0
Bia West,0,0,18,0,0,0,0,0,0,0,0,0,0,0,7.0
