Region,People Impacted
Gonja Central,2117
East Gonja,1420
Ga South,1321
Keta Municipal,1137
Accra Metropolis,1071
Ada West,801
Ketu South,456
Komenda Edna Eguafo / Abirem,437
Ada East,328
Krachi Nchumuru,287
Sene East,284
Kwahu Afram Plains North,255
Krachi East,207
Jomoro,163
Kpandai,144
Ekumfi,143
Krachi West,135
Amansie West,124
Kintampo North,105
Kwahu Afram Plains South,105
Cape Coast Metro,87
West Mamprusi,77
Central Tongu,72
South Dayi,70
Mfantsiman,66
Shama,54
Nkwanta South,52
Asuogyaman,50
Upper Denkyira West,48
Savelugu Nanton,44
South Tongu,42
Sene West,40
Twifo Ati-Morkwa,39
Ahanta West,37
Atwima Mponua,36
Pru,34
Sefwi Bibiani / Anhwiaso Bekwai,32
Builsa North,32
Obuasi Municipal,30
Prestea / Huni Valley,28
Amansie Central,28
Nkwanta North,27
Yendi Municipal,26
North Tongu,25
Kwahu South,24
Kwahu South,24
Kwahu South,24
North Gonja,22
Mamprugu Moagduri,20
Fanteakwa,20
Wassa Amenfi Central,19
Upper Manya,19
Aowin,18
Wassa East,18
Atiwa,18
Biakoye,17
Wa East,17
Nzema East,16
Kasena Nankana East,16
Kasena Nankana East,16
Kasena Nankana East,16
Nanumba North,15
Adansi South,15
Tema Metropolis,15
Wa West,14
Gomoa West,14
Kumbumgu,12
Tamale North Sub Metro,12
Agona East,12
Wassa Amenfi West,10
Ga Central Municipal,9
Asante Akim Central Municipal,8
Ningo Prampram,8
Wassa Amenfi East,7
Bole,7
Binduri,7
Shai Osu Doku,7
Jirapa,6
Bosomtwe / Atwima / Kwanwoma,6
Lower Manya,5
Adenta,4
Sefwi-Wiawso,0
Juabeso,0
Bia East,0
Suaman,0
Bia West,0
Bodi,0
Sefwi Akontombra,0
Tarkwa Nsuaem,0
Sekondi Takoradi,0
Ellembelle,0
Mpohor,0
Kintampo South,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Atebubu Amantin,0
Techiman North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
Ho West,0
Kpando Municipal,0
Afadzato South,0
Akatsi North,0
Ketu North,0
Hohoe Municipal,0
North Dayi,0
Akatsi South,0
Adaklu,0
Asunafo North,0
Asunafo South,0
Asutifi South,0
Asutifi North,0
Tano South,0
Tano North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Nadowli / Kaleo,0
Lawra,0
Nandom,0
Sissala East,0
Sissala  West,0
Lambussie Karni,0
Daffiama Bussie,0
Wa Municipal,0
Bunkpurugu Yonyo,0
Chereponi,0
Mamprusi East,0
Sawla / Tuna / Kalba,0
West Gonja,0
Denkyembour,0
Kwaebibirem,0
Yilo Krobo,0
Akwapem North,0
Upper West Akim,0
Birim Municipal,0
Ayensuano,0
East Akim,0
Birim South,0
West Akim,0
Nsawam Adoagyiri,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
Kwahu East,0
New Juaben Municipal,0
Birim North,0
Kwahu West,0
Tolon,0
Sagnerigu,0
Tatale,0
Nanumba South,0
Zabzugu,0
Mion,0
Saboba,0
Gushiegu,0
Karaga,0
Mion,0
Asokore Mampong Municipal,0
Kwabre,0
Bosome Freho,0
Asante Akim South,0
Asante Akim North,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Bosome Freho,0
Sekyere East,0
Offinso North,0
Ejisu Juaben,0
Adansi North,0
Sekyere Central,0
Sekyere Afram Plains North,0
Ahafo Ano North,0
Kma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Ejura Sekye Dumase,0
Atwima Nwabiagya,0
Bekwai Municipal,0
Afigya Kwabre,0
Kasena Nankana West,0
Builsa South,0
Kasena Nankana West,0
Bawku West,0
Pusiga,0
Bongo,0
Bolgatanga Municipal,0
Bawku Municipal,0
Garu Tempane,0
Talensi,0
Nabdam,0
Ledzokuku / Krowor,0
Kpone Katamanso,0
La Nkwantanang Madina,0
Ga West,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Ajumako / Enyan / Esiam,0
Abura / Asebu / Kwamankese,0
Agona West,0
Awutu Senya West,0
Effutu,0
Gomoa East,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Upper Denkyira East,0
Awutu Senya West,0
Assin North,0
Awutu Senya East Municipal,0
Banda,0
Sunyani West,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Sunyani Municipal,0
Tain,0
