Region,02Year,05Year,10Year,15Year,20Year
Abura / Asebu / Kwamankese,0,0,0,0,0
Accra Metropolis,41,356,807,1071,1276
Ada East,0,80,230,328,410
Ada West,18,384,658,801,989
Adaklu,0,0,0,0,0
Adansi North,0,0,0,0,0
Adansi South,0,0,0,15,15
Adenta,0,0,4,4,4
Afadzato South,0,0,0,0,0
Afigya Kwabre,0,0,0,0,0
Agona East,0,0,0,12,12
Agona West,0,0,0,0,0
Agotime Ziope,0,0,0,0,0
Ahafo Ano North,0,0,0,0,0
Ahafo Ano South,0,0,0,0,0
Ahanta West,0,0,37,37,37
Ajumako / Enyan / Esiam,0,0,0,0,0
Akatsi North,0,0,0,0,0
Akatsi South,0,0,0,0,9
Akwapem North,0,0,0,0,0
Akwapem South,0,0,0,0,0
Akyem Mansa,0,0,0,0,0
Amansie Central,0,0,24,28,88
Amansie West,0,0,63,124,217
Aowin,0,0,18,18,28
Asante Akim Central Municipal,0,0,0,8,11
Asante Akim North,0,0,0,0,0
Asante Akim South,0,0,0,0,0
Ashaiman,0,0,0,0,0
Asikuma / Odoben / Brakwa,0,0,0,0,0
Asokore Mampong Municipal,0,0,0,0,0
Assin North,0,0,0,0,0
Assin South,0,0,0,0,0
Asunafo North,0,0,0,0,0
Asunafo South,0,0,0,0,0
Asuogyaman,0,21,42,50,78
Asutifi North,0,0,0,0,0
Asutifi South,0,0,0,0,0
Atebubu Amantin,0,0,0,0,0
Atiwa,0,0,18,18,54
Atwima Kwanwoma,0,0,0,0,0
Atwima Mponua,0,0,18,36,90
Atwima Nwabiagya,0,0,0,0,0
Awutu Senya East Municipal,0,0,0,0,0
Awutu Senya West,0,0,0,0,0
Ayensuano,0,0,0,0,0
Banda,0,0,0,0,16
Bawku Municipal,0,0,0,0,0
Bawku West,0,0,0,0,0
Bekwai Municipal,0,0,0,0,0
Berekum,0,0,0,0,0
Bia East,0,0,0,0,0
Bia West,0,0,0,0,0
Biakoye,0,0,5,17,17
Binduri,0,0,0,7,7
Birim Municipal,0,0,0,0,0
Birim North,0,0,0,0,13
Birim South,0,0,0,0,0
Bodi,0,0,0,0,0
Bole,0,0,7,7,14
Bolgatanga Municipal,0,0,0,0,0
Bongo,0,0,0,0,0
Bosome Freho,0,0,0,0,0
Bosomtwe / Atwima / Kwanwoma,0,6,6,6,18
Builsa North,0,0,16,32,40
Builsa South,0,0,0,0,8
Bunkpurugu Yonyo,0,0,0,0,0
Cape Coast Metro,0,0,58,87,145
Central Tongu,0,21,63,72,79
Chereponi,0,0,0,0,0
Daffiama Bussie,0,0,0,0,4
Denkyembour,0,0,0,0,0
Dormaa East,0,0,0,0,0
Dormaa Municipal,0,0,0,0,0
Dormaa West,0,0,0,0,0
East Akim,0,0,0,0,0
East Gonja,40,1041,1352,1420,1463
Effutu,0,0,0,0,0
Ejisu Juaben,0,0,0,0,19
Ejura Sekye Dumase,0,0,0,0,0
Ekumfi,0,88,132,143,165
Ellembelle,0,0,0,0,20
Fanteakwa,0,0,20,20,20
Ga Central Municipal,0,0,0,9,9
Ga East,0,0,0,0,0
Ga South,182,758,1185,1321,1689
Ga West,0,0,0,0,0
Garu Tempane,0,0,0,0,9
Gomoa East,0,0,0,0,10
Gomoa West,0,0,14,14,27
Gonja Central,22,1414,1896,2117,2384
Gushiegu,0,0,0,0,0
Ho Municipal,0,0,0,0,0
Ho West,0,0,0,0,0
Hohoe Municipal,0,0,0,0,0
Jaman North,0,0,0,0,0
Jaman South,0,0,0,0,0
Jasikan,0,0,0,0,0
Jirapa,0,0,0,6,6
Jomoro,0,82,163,163,261
Juabeso,0,0,0,0,0
Kadjebi,0,0,0,0,0
Karaga,0,0,0,0,0
Kasena Nankana East,0,0,11,16,22
Kasena Nankana West,0,0,0,0,0
Keta Municipal,0,149,983,1137,1487
Ketu North,0,0,0,0,0
Ketu South,18,114,294,456,582
Kintampo North,1,1,54,105,154
Kintampo South,0,0,0,0,0
Kma,0,0,0,0,0
Komenda Edna Eguafo / Abirem,115,322,391,437,529
Kpandai,0,80,128,144,176
Kpando Municipal,0,0,0,0,0
Kpone Katamanso,0,0,0,0,10
Krachi East,0,44,77,207,405
Krachi Nchumuru,0,108,192,287,359
Krachi West,0,46,69,135,206
Kumbumgu,0,0,0,12,18
Kwabre,0,0,0,0,0
Kwaebibirem,0,0,0,0,9
Kwahu Afram Plains North,0,90,225,255,330
Kwahu Afram Plains South,0,90,90,105,126
Kwahu East,0,0,0,0,0
Kwahu South,0,12,24,24,24
Kwahu West,0,0,0,0,0
La Dade Kotopon,0,0,0,0,0
La Nkwantanang Madina,0,0,0,0,8
Lambussie Karni,0,0,0,0,0
Lawra,0,0,0,0,0
Ledzokuku / Krowor,0,0,0,0,0
Lower Manya,0,0,0,5,6
Mampong Municipal,0,0,0,0,0
Mamprugu Moagduri,0,0,20,20,30
Mamprusi East,0,0,0,0,0
Mfantsiman,0,22,66,66,93
Mion,0,0,0,0,0
Mpohor,0,0,0,0,0
Nabdam,0,0,0,0,0
Nadowli / Kaleo,0,0,0,0,8
Nandom,0,0,0,0,0
Nanumba North,0,0,15,15,30
Nanumba South,0,0,0,0,0
New Juaben Municipal,0,0,0,0,0
Ningo Prampram,0,4,8,8,16
Nkoranza North,0,0,0,0,0
Nkoranza South,0,0,0,0,0
Nkwanta North,0,0,27,27,27
Nkwanta South,0,25,43,52,88
North Dayi,0,0,0,0,0
North Gonja,0,11,11,22,22
North Tongu,0,0,7,25,25
