Region,Roads Impacted
Krachi Nchumuru,35125
Chereponi,29385
Saboba,16208
Kpandai,12217
Ga South,10480
Ketu South,9260
Tarkwa Nsuaem,9010
Upper Denkyira West,4998
Birim North,3560
Krachi West,3450
Sene East,3067
Ada West,2940
West Mamprusi,2824
Upper Denkyira East,2810
Savelugu Nanton,2801
Nanumba North,2777
Kwahu Afram Plains South,2770
Ellembelle,2760
Kwahu Afram Plains North,2700
Prestea / Huni Valley,2620
Keta Municipal,2190
Kumbumgu,2105
Gonja Central,1861
East Gonja,1844
Ningo Prampram,1560
Krachi East,1430
Jomoro,1226
Adansi North,1100
Obuasi Municipal,1040
La Nkwantanang Madina,1010
Karaga,1000
Sunyani West,920
Wa West,880
Yendi Municipal,860
Nkwanta North,828
Gomoa East,730
Wassa East,720
Agona East,720
Nandom,671
Pru,660
Aowin,654
Atwima Mponua,640
Mion,599
Mion,599
Bekwai Municipal,590
Shai Osu Doku,570
Birim Municipal,560
Amansie West,550
Kwahu South,528
Kwahu South,528
Kwahu South,528
Wassa Amenfi East,512
Ada East,500
Sunyani Municipal,480
North Tongu,470
Nadowli / Kaleo,460
Zabzugu,430
Nanumba South,422
South Dayi,420
Shama,410
Wassa Amenfi Central,400
Techiman Municipal,370
Kpando Municipal,370
Ahanta West,350
Asuogyaman,340
Kintampo North,337
Kpone Katamanso,330
Effutu,330
Bole,310
South Tongu,300
Adansi South,286
Sawla / Tuna / Kalba,280
Sefwi Akontombra,270
Jaman South,260
Tain,260
Accra Metropolis,244
Lawra,239
Bosomtwe / Atwima / Kwanwoma,230
Kwaebibirem,220
Fanteakwa,220
Akwapem South,220
Yilo Krobo,200
Upper West Akim,200
Binduri,200
Daffiama Bussie,190
Kwabre,190
Ejisu Juaben,190
Amansie Central,180
Banda,180
Berekum,180
Wa East,170
Mamprugu Moagduri,170
Builsa South,170
Nzema East,160
Mpohor,150
Central Tongu,140
Biakoye,140
Suhum Municipal,140
Asikuma / Odoben / Brakwa,130
Builsa North,120
Mfantsiman,120
Asutifi North,100
Wa Municipal,100
West Gonja,92
Sene West,90
Wassa Amenfi West,80
Asante Akim North,80
Atwima Nwabiagya,80
Dormaa Municipal,80
Afadzato South,70
Bunkpurugu Yonyo,70
Talensi,70
Komenda Edna Eguafo / Abirem,70
Ekumfi,70
Ketu North,64
Tamale North Sub Metro,60
Kwahu East,52
Bia East,50
Asunafo North,50
Abura / Asebu / Kwamankese,50
Jirapa,40
Sissala East,40
Lambussie Karni,40
Akwapem North,40
Asante Akim Central Municipal,40
Ga West,40
Awutu Senya West,40
Awutu Senya West,40
Adenta,36
Sekondi Takoradi,30
North Gonja,30
Sekyere Central,30
Kasena Nankana East,30
Kasena Nankana East,30
Bongo,30
Bawku Municipal,30
Kasena Nankana East,30
Cape Coast Metro,30
Assin North,24
Mamprusi East,20
Nsawam Adoagyiri,20
Akyem Mansa,20
Tolon,11
North Dayi,10
Akatsi South,10
Gomoa West,10
Sefwi Bibiani / Anhwiaso Bekwai,0
Sefwi-Wiawso,0
Juabeso,0
Suaman,0
Bia West,0
Bodi,0
Kintampo South,0
Nkoranza South,0
Nkoranza North,0
Atebubu Amantin,0
Techiman North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
Ho West,0
Akatsi North,0
Hohoe Municipal,0
Adaklu,0
Asunafo South,0
Asutifi South,0
Tano South,0
Tano North,0
Kadjebi,0
Nkwanta South,0
Jasikan,0
Kadjebi,0
Sissala  West,0
Denkyembour,0
Lower Manya,0
Ayensuano,0
East Akim,0
Birim South,0
West Akim,0
Atiwa,0
Upper Manya,0
New Juaben Municipal,0
Kwahu West,0
Sagnerigu,0
Tatale,0
Gushiegu,0
Asokore Mampong Municipal,0
Bosome Freho,0
Asante Akim South,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Bosome Freho,0
Sekyere East,0
Offinso North,0
Sekyere Afram Plains North,0
Ahafo Ano North,0
Kma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Ejura Sekye Dumase,0
Afigya Kwabre,0
Kasena Nankana West,0
Kasena Nankana West,0
Bawku West,0
Pusiga,0
Bolgatanga Municipal,0
Garu Tempane,0
Nabdam,0
Ledzokuku / Krowor,0
Tema Metropolis,0
Ga Central Municipal,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Ajumako / Enyan / Esiam,0
Twifo Ati-Morkwa,0
Agona West,0
Twifo Lower Denkyira,0
Awutu Senya East Municipal,0
Dormaa West,0
Jaman North,0
Dormaa East,0
Wenchi,0
