Region,Roads Impacted
Krachi Nchumuru,41873
Keta Municipal,26350
Kpandai,15915
Ga South,10060
Ketu South,9770
Chereponi,7494
Kumbumgu,4885
Savelugu Nanton,4754
Saboba,3990
West Mamprusi,3739
Bole,3265
Ada West,3030
Kwahu Afram Plains North,2930
Banda,2915
Nanumba North,2744
East Gonja,2618
Sene East,2597
Upper Denkyira West,2340
Krachi West,2320
Mion,2032
Mion,2032
Ada East,2020
Krachi East,1620
Birim North,1610
Lawra,1521
Kwahu Afram Plains South,1120
Nadowli / Kaleo,1067
Jomoro,1026
Asuogyaman,960
Atwima Mponua,960
Karaga,950
Kasena Nankana East,900
Kasena Nankana East,900
Kasena Nankana East,900
Nandom,851
Kpone Katamanso,848
Kintampo North,836
Asutifi North,790
Tolon,789
Bongo,770
Wa West,760
South Tongu,670
Gonja Central,650
Yendi Municipal,631
Komenda Edna Eguafo / Abirem,600
North Gonja,561
Atiwa,540
North Tongu,520
Jirapa,503
Ahanta West,500
Lower Manya,500
Adenta,456
Sefwi Bibiani / Anhwiaso Bekwai,430
Ningo Prampram,420
Nkwanta North,411
Nanumba South,393
Daffiama Bussie,390
Tarkwa Nsuaem,370
Adansi South,330
Nzema East,307
Effutu,300
Pru,290
Kpando Municipal,290
Sawla / Tuna / Kalba,285
Tema Metropolis,280
West Gonja,270
Prestea / Huni Valley,260
Tamale North Sub Metro,260
Central Tongu,250
Cape Coast Metro,230
Akatsi North,210
Amansie West,200
Wassa Amenfi East,194
Shama,180
Upper Denkyira East,180
Accra Metropolis,174
Zabzugu,169
Wassa Amenfi Central,166
Shai Osu Doku,160
Kwahu South,150
Kwahu South,150
Kwahu South,150
Binduri,146
Mamprugu Moagduri,131
Mfantsiman,130
Talensi,129
Wa Municipal,120
Sekondi Takoradi,110
Ketu North,110
Bolgatanga Municipal,101
Sissala East,80
Twifo Ati-Morkwa,80
Gomoa West,60
Aowin,54
Bawku West,44
Ellembelle,43
Mamprusi East,40
Amansie Central,40
Garu Tempane,40
Denkyembour,30
Builsa North,30
Ekumfi,30
Assin North,30
Bosomtwe / Atwima / Kwanwoma,26
Wa East,20
Bunkpurugu Yonyo,20
Kasena Nankana West,20
Kasena Nankana West,20
Awutu Senya West,20
Gomoa East,20
Awutu Senya West,20
Akatsi South,10
Fanteakwa,10
Ahafo Ano South,10
Ga West,10
Bosome Freho,4
Bosome Freho,4
Sefwi-Wiawso,0
Juabeso,0
Bia East,0
Suaman,0
Bia West,0
Bodi,0
Sefwi Akontombra,0
Wassa East,0
Wassa Amenfi West,0
Mpohor,0
Sene West,0
Kintampo South,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Atebubu Amantin,0
Techiman North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
Ho West,0
Afadzato South,0
Hohoe Municipal,0
North Dayi,0
South Dayi,0
Adaklu,0
Asunafo North,0
Asunafo South,0
Asutifi South,0
Tano South,0
Tano North,0
Kadjebi,0
Nkwanta South,0
Jasikan,0
Kadjebi,0
Biakoye,0
Sissala  West,0
Lambussie Karni,0
Kwaebibirem,0
Yilo Krobo,0
Akwapem North,0
Upper West Akim,0
Birim Municipal,0
Ayensuano,0
East Akim,0
Birim South,0
West Akim,0
Nsawam Adoagyiri,0
Upper Manya,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
Kwahu East,0
New Juaben Municipal,0
Kwahu West,0
Sagnerigu,0
Tatale,0
Gushiegu,0
Asokore Mampong Municipal,0
Kwabre,0
Asante Akim South,0
Asante Akim North,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Asante Akim Central Municipal,0
Sekyere East,0
Offinso North,0
Ejisu Juaben,0
Adansi North,0
Obuasi Municipal,0
Sekyere Central,0
Sekyere Afram Plains North,0
Ahafo Ano North,0
Kma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ejura Sekye Dumase,0
Atwima Nwabiagya,0
Bekwai Municipal,0
Afigya Kwabre,0
Builsa South,0
Pusiga,0
Bawku Municipal,0
Nabdam,0
Ledzokuku / Krowor,0
La Nkwantanang Madina,0
Ga Central Municipal,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Ajumako / Enyan / Esiam,0
Abura / Asebu / Kwamankese,0
Agona West,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Agona East,0
Awutu Senya East Municipal,0
Sunyani West,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Sunyani Municipal,0
Tain,0
