Region,02Year,05Year,10Year,15Year,20Year
Abura / Asebu / Kwamankese,0,0,0,0,0
Accra Metropolis,0,90,170,174,386
Ada East,350,790,1870,2020,2330
Ada West,620,1530,2570,3030,3410
Adaklu,0,0,0,0,0
Adansi North,0,0,0,0,0
Adansi South,0,0,70,330,350
Adenta,10,280,350,456,556
Afadzato South,0,0,0,0,0
Afigya Kwabre,0,0,0,0,0
Agona East,0,0,0,0,0
Agona West,0,0,0,0,0
Agotime Ziope,0,0,0,0,0
Ahafo Ano North,0,0,0,0,0
Ahafo Ano South,0,0,0,10,10
Ahanta West,0,130,310,500,670
Ajumako / Enyan / Esiam,0,0,0,0,330
Akatsi North,0,30,130,210,300
Akatsi South,0,0,10,10,10
Akwapem North,0,0,0,0,0
Akwapem South,0,0,0,0,0
Akyem Mansa,0,0,0,0,0
Amansie Central,0,0,40,40,40
Amansie West,0,0,100,200,550
Aowin,0,0,40,54,54
Asante Akim Central Municipal,0,0,0,0,10
Asante Akim North,0,0,0,0,0
Asante Akim South,0,0,0,0,0
Ashaiman,0,0,0,0,0
Asikuma / Odoben / Brakwa,0,0,0,0,0
Asokore Mampong Municipal,0,0,0,0,0
Assin North,0,0,30,30,30
Assin South,0,0,0,0,0
Asunafo North,0,0,0,0,0
Asunafo South,0,0,0,0,0
Asuogyaman,20,920,930,960,960
Asutifi North,0,0,600,790,880
Asutifi South,0,0,0,0,10
Atebubu Amantin,0,0,0,0,0
Atiwa,0,0,340,540,1230
Atwima Kwanwoma,0,0,0,0,0
Atwima Mponua,0,0,560,960,1690
Atwima Nwabiagya,0,0,0,0,0
Awutu Senya East Municipal,0,0,0,0,10
Awutu Senya West,0,0,0,20,30
Ayensuano,0,0,0,0,0
Banda,55,55,1895,2915,4395
Bawku Municipal,0,0,0,0,0
Bawku West,4,4,44,44,74
Bekwai Municipal,0,0,0,0,0
Berekum,0,0,0,0,0
Bia East,0,0,0,0,0
Bia West,0,0,0,0,0
Biakoye,0,0,0,0,0
Binduri,26,116,136,146,176
Birim Municipal,0,0,0,0,0
Birim North,0,0,990,1610,2650
Birim South,0,0,0,0,0
Bodi,0,0,0,0,0
Bole,155,255,2135,3265,5175
Bolgatanga Municipal,0,41,101,101,181
Bongo,340,550,720,770,870
Bosome Freho,0,4,4,4,166
Bosomtwe / Atwima / Kwanwoma,0,26,26,26,44
Builsa North,0,0,30,30,340
Builsa South,0,0,0,0,20
Bunkpurugu Yonyo,0,0,0,20,160
Cape Coast Metro,0,40,200,230,270
Central Tongu,0,0,190,250,440
Chereponi,0,3269,4759,7494,10294
Daffiama Bussie,130,230,390,390,450
Denkyembour,0,0,0,30,30
Dormaa East,0,0,0,0,0
Dormaa Municipal,0,0,0,0,0
Dormaa West,0,0,0,0,0
East Akim,0,0,0,0,0
East Gonja,0,704,1808,2618,4476
Effutu,0,30,160,300,650
Ejisu Juaben,0,0,0,0,0
Ejura Sekye Dumase,0,0,0,0,0
Ekumfi,0,0,0,30,60
Ellembelle,0,0,3,43,103
Fanteakwa,0,0,10,10,100
Ga Central Municipal,0,0,0,0,0
Ga East,0,0,0,0,0
Ga South,1290,5930,8610,10060,12008
Ga West,0,0,10,10,40
Garu Tempane,0,0,40,40,90
Gomoa East,0,0,0,20,70
Gomoa West,110,30,60,60,140
Gonja Central,70,200,580,650,1540
Gushiegu,0,0,0,0,0
Ho Municipal,0,0,0,0,0
Ho West,0,0,0,0,0
Hohoe Municipal,0,0,0,0,30
Jaman North,0,0,0,0,0
Jaman South,0,0,0,0,0
Jasikan,0,0,0,0,0
Jirapa,20,123,493,503,673
