Region,20200930_20201007,20200916_20200923,20200715_20200722,20180815_20181015,20200902_20200909,20201007_20201014,20190901_20190920,20200812_20200819,20201014_20201021,20200805_20200812,20200909_20200916,20200826_20200902,20200819_20200826,20200722_20200729,20200923_20200930
Abura / Asebu / Kwamankese,0,0,0,0,0,0,1500,0.0,50,0,0,0,0,0,50
Accra Metropolis,90,0,380,0,0,120,8674,40.0,244,90,0,0,0,40,0
Ada East,0,0,0,0,200,0,460,0.0,500,0,780,0,0,0,0
Ada West,0,0,50,0,30,0,480,170.0,2940,80,0,0,0,0,0
Adaklu,0,0,0,0,0,0,390,30.0,0,0,0,0,0,0,0
Adansi North,0,0,0,0,0,0,20,0.0,1100,50,0,0,130,0,0
Adansi South,0,0,0,0,510,0,236,0.0,286,0,0,0,140,80,780
Adenta,0,0,0,0,0,0,3176,40.0,36,0,0,0,0,0,0
Afadzato South,50,30,0,0,0,0,199,80.0,70,0,0,0,0,20,40
Afigya Kwabre,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,130
Agona East,0,0,0,0,0,60,525,0.0,720,0,0,0,0,40,0
Agona West,0,0,0,0,0,1500,885,50.0,0,0,0,0,290,60,0
Agotime Ziope,0,0,0,0,0,0,130,0.0,0,0,0,0,40,0,0
Ahafo Ano North,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
Ahafo Ano South,0,0,0,0,0,10,0,0.0,0,0,0,0,0,0,1490
Ahanta West,60,0,500,0,150,0,2090,14772.0,350,50,0,0,10,150,0
Ajumako / Enyan / Esiam,0,0,0,0,0,90,800,,0,40,0,0,520,150,0
Akatsi North,0,0,0,0,0,0,287,0.0,0,0,0,0,0,0,0
Akatsi South,0,0,0,0,0,0,3440,70.0,10,10,0,0,0,0,0
Akwapem North,0,0,0,0,0,0,1592,10.0,40,0,0,0,70,0,0
Akwapem South,0,0,0,0,0,0,100,10.0,220,0,0,0,80,0,0
Akyem Mansa,0,0,0,0,0,0,60,0.0,20,0,0,0,0,50,0
Amansie Central,0,0,0,0,0,0,20,0.0,180,0,0,0,0,30,0
Amansie West,0,0,0,0,0,0,1210,0.0,550,80,0,0,280,0,100
Aowin,50,460,140,0,80,150,2314,0.0,654,0,0,0,0,140,80
Asante Akim Central Municipal,0,0,0,0,0,60,310,0.0,40,0,0,0,0,0,0
Asante Akim North,0,180,0,0,0,0,0,30.0,80,0,0,0,50,0,50
Asante Akim South,0,0,0,0,0,0,810,0.0,0,0,0,0,0,0,0
Ashaiman,0,0,0,0,0,0,400,10.0,0,0,0,0,0,0,0
Asikuma / Odoben / Brakwa,0,0,0,0,0,190,0,0.0,130,0,0,0,0,0,0
Asokore Mampong Municipal,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
Assin North,0,0,0,0,0,60,14,0.0,24,0,0,0,260,40,0
Assin South,0,0,0,0,0,90,520,0.0,0,40,0,0,0,120,20
Asunafo North,0,600,0,0,0,0,0,20.0,50,0,0,60,0,0,0
Asunafo South,110,0,0,0,0,0,0,150.0,0,0,0,0,0,0,0
Asuogyaman,0,0,1260,0,0,0,1660,150.0,340,110,0,0,0,0,0
Asutifi North,0,0,0,0,0,0,10,0.0,100,0,0,0,0,0,0
Asutifi South,0,280,0,0,0,0,0,40.0,0,0,0,0,0,10,0
Atebubu Amantin,0,0,0,0,0,0,620,150.0,0,0,0,0,446,0,0
Atiwa,30,0,0,0,210,0,840,0.0,0,230,0,0,1060,120,0
