|,|__District,|__Data__deployment_id,|__Data__dtime_start,|__Data__dtime_end,|__Data__value,|__Total_Area_km2
Flood_Area_km2,Jasikan,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.11,5640086
,Kadjebi,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.14,7005791
,Nkwanta South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,12.66,27791079
,Krachi Nchumuru,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,38.63,12152574
,Nkwanta North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,40.82,11185182
,Krachi West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,43.95,12908100
,Biakoye,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,20.83,11223147
,Krachi East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,104.54,24560531
,Dormaa West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.04,3860964
,Banda,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,3.04,23372684
,Jaman South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.01,7666643
,Sunyani Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.07,5140750
,Jaman North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.09,10475466
,Berekum,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.07,8760951
,Dormaa East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.03,5782525
,Wenchi,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.37,11633403
,Sunyani West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.21,10752081
,Tain,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.25,18587490
,Dormaa Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.16,12272260
,Asutifi South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.11,6054033
,Asutifi North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.66,9494395
,Asunafo South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.12,9356462
,Asunafo North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.19,14308240
,Tano South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.12,4962030
,Tano North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.07,8496062
,North Tongu,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,12.82,11455667
,Akatsi South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,2.76,5423816
,South Tongu,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,9.04,6511316
,Agotime Ziope,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.65,3196500
,Adaklu,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,2.2,8074873
,Ho West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.82,10159179
,Akatsi North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.56,3179614
,Ketu South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,9.8,2815154
,South Dayi,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,5.47,3630195
,Kpando Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,8.22,3185032
,North Dayi,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,6.83,4740218
,Central Tongu,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,5.44,6905180
,Afadzato South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,4.92,5557721
,Ketu North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.55,4287533
,Ho Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.62,5847749
,Hohoe Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.2,6939232
,Keta Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,15.45,7616629
,Asante Akim South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.34,11688581
,Sekyere Central,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,3.37,16556135
,Sekyere Afram Plains North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,1.67,35780599
,Asante Akim North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,24.87,11420842
,Offinso Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.08,5941979
,Sekyere Kumawu,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.09,5848655
,Ahafo Ano North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.02,6019385
,Sekyere South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.03,4228238
,Asokore Mampong Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,242467
,Kwabre,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.06,1246876
,Amansie Central,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,3.93,8605060
,Ejisu Juaben,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.98,5905388
,Bosome Freho,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.24,5762809
,Obuasi Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,1,2235070
,Mampong Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,1.7,6801598
,Atwima Kwanwoma,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.18,2549314
,Kma,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.1,2172410
,Asante Akim Central Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.28,3043618
,Amansie West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,9.96,12470446
,Ahafo Ano South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.33,12075103
,Ejura Sekye Dumase,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,5.09,13607532
,Adansi South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,2.49,13448886
,Atwima Mponua,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,1.73,19083256
,Adansi North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.37,8646846
,Atwima Nwabiagya,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,2.32,5872509
,Bekwai Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.72,5423944
,Bosomtwe / Atwima / Kwanwoma,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.75,4282166
,Afigya Kwabre,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.12,4152253
,Offinso North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.62,9601036
,Sekyere East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.09,2424984
,Cape Coast Metro,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,1.04,1237521
,Agona East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.25,3312220
,Upper Denkyira West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,6.28,5864614
,Twifo Ati-Morkwa,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,3.04,9696020
,Awutu Senya East Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.13,671675
,Ajumako / Enyan / Esiam,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0.51,5272325
,Gomoa West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,1.92,4637908
