|,|__District,|__Data__deployment_id,|__Data__dtime_start,|__Data__dtime_end,|__Data__value,|__Total_Hospitals
Hospital_Impacts,Jasikan,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Kadjebi,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Nkwanta South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,2
,Krachi Nchumuru,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Nkwanta North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Krachi West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Biakoye,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Krachi East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Dormaa West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Banda,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Jaman South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,2
,Sunyani Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,3
,Jaman North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Berekum,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,3
,Dormaa East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Wenchi,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Sunyani West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Tain,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Dormaa Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Asutifi South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,3
,Asutifi North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Asunafo South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Asunafo North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,3
,Tano South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Tano North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,North Tongu,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Akatsi South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,South Tongu,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,2
,Agotime Ziope,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Adaklu,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Ho West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Akatsi North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Ketu South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,4
,South Dayi,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Kpando Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,North Dayi,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Central Tongu,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Afadzato South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Ketu North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,2
,Ho Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,4
,Hohoe Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Keta Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,3
,Asante Akim South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Sekyere Central,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,2
,Sekyere Afram Plains North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Asante Akim North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Offinso Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Sekyere Kumawu,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Ahafo Ano North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Sekyere South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Asokore Mampong Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Kwabre,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Amansie Central,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Ejisu Juaben,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Bosome Freho,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Obuasi Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,2
,Mampong Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
