|,|__District,|__Data__deployment_id,|__Data__dtime_start,|__Data__dtime_end,|__Data__value,|__Total_RoadLength_m
Road_Impacts,West Mamprusi,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,58848,1083912
,Chereponi,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,46152,569172
,Saboba,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,34493,651986
,Krachi Nchumuru,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,34292,1510014
,Garu Tempane,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,30752,775998
,Karaga,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,21670,545541
,Ahanta West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,18598,816270
,Kumbumgu,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,15985,512223
,Savelugu Nanton,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,14607,972257
,Sekondi Takoradi,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,14348,1200382
,Kpandai,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,11280,739658
,Gonja Central,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,10889,1243605
,Agona West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,8860,381038
,Ga South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,8120,2443413
,La Dade Kotopon,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,7841,501446
,Ellembelle,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,7490,628950
,Tarkwa Nsuaem,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,7401,971858
,Cape Coast Metro,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,7347,639469
,Binduri,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,7328,314334
,Nzema East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,6443,408742
,Kpone Katamanso,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,6243,2765612
,Komenda Edna Eguafo / Abirem,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,5983,707468
,Bunkpurugu Yonyo,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,5842,633007
,Kasena Nankana East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,5742,894412
,Yendi Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,5673,821448
,Mamprusi East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,5267,713994
,East Gonja,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,5248,1896494
,Ketu South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,5075,755093
,North Tongu,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,5000,709509
,Bawku West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,4370,446003
,North Gonja,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,4345,589796
,West Gonja,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,3996,762259
,Nanumba North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,3889,538403
,Mpohor,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,3782,403609
,Upper Denkyira West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,3736,351241
,Mion,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,3664,856219
,Accra Metropolis,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,3399,2252426
