|,|__District,|__Data__deployment_id,|__Data__dtime_start,|__Data__dtime_end,|__Data__value,|__Total_Schools
School_Impacts,Jasikan,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Kadjebi,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Nkwanta South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Krachi Nchumuru,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Nkwanta North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,2
,Krachi West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Biakoye,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Krachi East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Dormaa West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Banda,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Jaman South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Sunyani Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,1,3
,Jaman North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Berekum,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Dormaa East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Wenchi,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Sunyani West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,2
,Tain,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Dormaa Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Asutifi South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Asutifi North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Asunafo South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Asunafo North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,1,5
,Tano South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Tano North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,North Tongu,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,2
,Akatsi South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,South Tongu,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,2
,Agotime Ziope,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
