Began,Ended,crop_area
1985-01-01,1986-01-01,1.1729906077270502
1986-01-01,1987-01-01,21.09605201226807
1987-01-01,1988-01-01,16.266710830810535
1988-01-01,1989-01-01,210.64737641064528
1989-01-01,1990-01-01,124.09419987994262
1990-01-01,1991-01-01,100.30306709332307
1991-01-01,1992-01-01,11.526796196655276
1992-01-01,1993-01-01,3.2892467564086947
1994-01-01,1995-01-01,5.639713655273435
1995-01-01,1996-01-01,34.73553366918949
1996-01-01,1997-01-01,5.186117223693845
1997-01-01,1998-01-01,0.29522492932128913
1998-01-01,1999-01-01,5.638101048706044
1999-01-01,2000-01-01,109.06009922155744
2000-01-01,2001-01-01,153.5469130404665
2001-01-01,2002-01-01,57.08013556811519
2002-01-01,2003-01-01,44.50454575628666
2003-01-01,2004-01-01,231.61597350976533
2004-01-01,2005-01-01,26.797944053039533
2005-01-01,2006-01-01,32.235226435302785
2006-01-01,2007-01-01,43.32272320867925
2007-01-01,2008-01-01,219.25827191619965
2008-01-01,2009-01-01,126.75306061773686
2009-01-01,2010-01-01,334.29041279260366
2010-01-01,2011-01-01,159.45597464263875
2011-01-01,2012-01-01,286.76241003942766
2012-01-01,2013-01-01,199.93221225970345
2013-01-01,2014-01-01,301.75915460681165
2014-01-01,2015-01-01,138.0768796662602
2015-01-01,2016-01-01,247.20058494384932
2016-01-01,2017-01-01,232.18431099896296
2017-01-01,2018-01-01,75.14705921240221
2018-01-01,2019-01-01,402.25852867797545
2019-01-01,2020-01-01,193.32190420111067
