adm0_name,adm0_gaulcode,adm0_pcod3,adm0_pcod2,region,adm1_name,adm1_gaulcode,adm1_pcod3,adm1_pcod2,adm2_name,adm2_gaulcode,adm2_pcod3,adm2_pcod2,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,chtype,exercise_code,exercise_label,exercise_year,reference_code,reference_label,reference_year,status
Ghana,94,GHA,GH,,Ashanti,1324,GHA024,GH24,,,,,5549184,1,5327217,221967,0,0,0,0,current,2,Jan-May,2017,2,Jan-May,2017,outofcamp
Ghana,94,GHA,GH,,Ashanti,1324,GHA024,GH24,,,,,5533011,1,5256360,276651,0,0,0,0,current,1,Sep-Dec,2017,1,Sep-Dec,2017,outofcamp
Ghana,94,GHA,GH,,Brong Ahafo,1325,GHA025,GH25,,,,,2672188,1,2618744,53444,0,0,0,0,current,2,Jan-May,2017,2,Jan-May,2017,outofcamp
Ghana,94,GHA,GH,,Brong Ahafo,1325,GHA025,GH25,,,,,2723050,1,2559667,163383,0,0,0,0,current,1,Sep-Dec,2017,1,Sep-Dec,2017,outofcamp
Ghana,94,GHA,GH,,Central,1326,GHA026,GH26,,,,,2558468,1,2404960,127923,25585,0,0,25585,current,2,Jan-May,2017,2,Jan-May,2017,outofcamp
Ghana,94,GHA,GH,,Central,1326,GHA026,GH26,,,,,2479279,1,2355315,99171,24793,0,0,24793,current,1,Sep-Dec,2017,1,Sep-Dec,2017,outofcamp
Ghana,94,GHA,GH,,Eastern,1327,GHA027,GH27,,,,,3038756,1,2947593,91163,0,0,0,0,current,2,Jan-May,2017,2,Jan-May,2017,outofcamp
Ghana,94,GHA,GH,,Eastern,1327,GHA027,GH27,,,,,3099641,1,3037648,61993,0,0,0,0,current,1,Sep-Dec,2017,1,Sep-Dec,2017,outofcamp
Ghana,94,GHA,GH,,Greater Accra,1328,GHA028,GH28,,,,,4664044,1,3684595,886168,93281,0,0,93281,current,2,Jan-May,2017,2,Jan-May,2017,outofcamp
Ghana,94,GHA,GH,,Greater Accra,1328,GHA028,GH28,,,,,4721889,2,3683073,991597,47219,0,0,47219,current,1,Sep-Dec,2017,1,Sep-Dec,2017,outofcamp
Ghana,94,GHA,GH,,Northern,1329,GHA029,GH29,,,,,2886636,1,2742304,115465,28866,0,0,28866,current,2,Jan-May,2017,2,Jan-May,2017,outofcamp
Ghana,94,GHA,GH,,Northern,1329,GHA029,GH29,,,,,2925489,1,2749960,175529,0,0,0,0,current,1,Sep-Dec,2017,1,Sep-Dec,2017,outofcamp
Ghana,94,GHA,GH,,Upper East,1330,GHA030,GH30,,,,,1179094,1,1061185,106118,11791,0,0,11791,current,2,Jan-May,2017,2,Jan-May,2017,outofcamp
Ghana,94,GHA,GH,,Upper East,1330,GHA030,GH30,,,,,1216680,1,1143679,73001,0,0,0,0,current,1,Sep-Dec,2017,1,Sep-Dec,2017,outofcamp
Ghana,94,GHA,GH,,Upper West,1331,GHA031,GH31,,,,,806289,1,774037,32252,0,0,0,0,current,2,Jan-May,2017,2,Jan-May,2017,outofcamp
Ghana,94,GHA,GH,,Upper West,1331,GHA031,GH31,,,,,811124,1,770568,40556,0,0,0,0,current,1,Sep-Dec,2017,1,Sep-Dec,2017,outofcamp
Ghana,94,GHA,GH,,Volta,1332,GHA032,GH32,,,,,2454126,1,2331420,122706,0,0,0,0,current,2,Jan-May,2017,2,Jan-May,2017,outofcamp
Ghana,94,GHA,GH,,Volta,1332,GHA032,GH32,,,,,2491293,1,2391641,74739,24913,0,0,24913,current,1,Sep-Dec,2017,1,Sep-Dec,2017,outofcamp
Ghana,94,GHA,GH,,Western,1333,GHA033,GH33,,,,,2736638,1,2654539,82099,0,0,0,0,current,2,Jan-May,2017,2,Jan-May,2017,outofcamp
Ghana,94,GHA,GH,,Western,1333,GHA033,GH33,,,,,2954789,1,2895693,59096,0,0,0,0,current,1,Sep-Dec,2017,1,Sep-Dec,2017,outofcamp
Ghana,94,GHA,GH,,Ashanti,1324,GHA024,GH24,,,,,5327217,1,5382708,166476,0,0,0,0,projected,2,Jan-May,2017,3,Jun-Aug,2017,outofcamp
Ghana,94,GHA,GH,,Brong Ahafo,1325,GHA025,GH25,,,,,2618744,1,2618744,53444,0,0,0,0,projected,2,Jan-May,2017,3,Jun-Aug,2017,outofcamp
Ghana,94,GHA,GH,,Central,1326,GHA026,GH26,,,,,2404960,1,2456129,102339,0,0,0,0,projected,2,Jan-May,2017,3,Jun-Aug,2017,outofcamp
Ghana,94,GHA,GH,,Eastern,1327,GHA027,GH27,,,,,2947593,1,2962787,60775,0,0,0,0,projected,2,Jan-May,2017,3,Jun-Aug,2017,outofcamp
Ghana,94,GHA,GH,,Greater Accra,1328,GHA028,GH28,,,,,3684595,1,3684595,932809,46640,0,0,46640,projected,2,Jan-May,2017,3,Jun-Aug,2017,outofcamp
Ghana,94,GHA,GH,,Northern,1329,GHA029,GH29,,,,,2742304,1,2540240,288664,57733,0,0,57733,projected,2,Jan-May,2017,3,Jun-Aug,2017,outofcamp
Ghana,94,GHA,GH,,Upper East,1330,GHA030,GH30,,,,,1061185,1,966857,188655,23582,0,0,23582,projected,2,Jan-May,2017,3,Jun-Aug,2017,outofcamp
Ghana,94,GHA,GH,,Upper West,1331,GHA031,GH31,,,,,774037,1,725660,72566,8063,0,0,8063,projected,2,Jan-May,2017,3,Jun-Aug,2017,outofcamp
Ghana,94,GHA,GH,,Volta,1332,GHA032,GH32,,,,,2331420,1,2380502,73624,0,0,0,0,projected,2,Jan-May,2017,3,Jun-Aug,2017,outofcamp
Ghana,94,GHA,GH,,Western,1333,GHA033,GH33,,,,,2654539,1,2681905,54733,0,0,0,0,projected,2,Jan-May,2017,3,Jun-Aug,2017,outofcamp
Ghana,94,GHA,GH,,Ashanti,1324,GHA024,GH24,,,,,5667680,1,5270942,396738,0,0,0,0,current,2,Jan-May,2018,2,Jan-May,2018,outofcamp
Ghana,94,GHA,GH,,Ashanti,1324,GHA024,GH24,,,,,5792187,1,5097125,695062,0,0,0,0,current,1,Sep-Dec,2018,1,Sep-Dec,2018,outofcamp
Ghana,94,GHA,GH,,Brong Ahafo,1325,GHA025,GH25,,,,,2789332,1,2566185,223147,0,0,0,0,current,2,Jan-May,2018,2,Jan-May,2018,outofcamp
Ghana,94,GHA,GH,,Brong Ahafo,1325,GHA025,GH25,,,,,2850607,1,2565546,285061,0,0,0,0,current,1,Sep-Dec,2018,1,Sep-Dec,2018,outofcamp
Ghana,94,GHA,GH,,Central,1326,GHA026,GH26,,,,,2492593,1,2193482,299111,0,0,0,0,current,2,Jan-May,2018,2,Jan-May,2018,outofcamp
Ghana,94,GHA,GH,,Central,1326,GHA026,GH26,,,,,2563228,1,2306905,256323,0,0,0,0,current,1,Sep-Dec,2018,1,Sep-Dec,2018,outofcamp
Ghana,94,GHA,GH,,Eastern,1327,GHA027,GH27,,,,,3175086,1,2889328,285758,0,0,0,0,current,2,Jan-May,2018,2,Jan-May,2018,outofcamp
Ghana,94,GHA,GH,,Eastern,1327,GHA027,GH27,,,,,3244834,1,2920351,324483,0,0,0,0,current,1,Sep-Dec,2018,1,Sep-Dec,2018,outofcamp
Ghana,94,GHA,GH,,Greater Accra,1328,GHA028,GH28,,,,,4836805,1,4208020,580417,48368,0,0,48368,current,2,Jan-May,2018,2,Jan-May,2018,outofcamp
Ghana,94,GHA,GH,,Greater Accra,1328,GHA028,GH28,,,,,4943075,1,4448768,494308,0,0,0,0,current,1,Sep-Dec,2018,1,Sep-Dec,2018,outofcamp
Ghana,94,GHA,GH,,Northern,1329,GHA029,GH29,,,,,2997041,1,2547485,419586,29970,0,0,29970,current,2,Jan-May,2018,2,Jan-May,2018,outofcamp
Ghana,94,GHA,GH,,Northern,1329,GHA029,GH29,,,,,3062883,1,2634079,428804,0,0,0,0,current,1,Sep-Dec,2018,1,Sep-Dec,2018,outofcamp
Ghana,94,GHA,GH,,Upper East,1330,GHA030,GH30,,,,,1246288,1,1046882,186943,12463,0,0,12463,current,2,Jan-May,2018,2,Jan-May,2018,outofcamp
Ghana,94,GHA,GH,,Upper East,1330,GHA030,GH30,,,,,1273677,1,1057152,203788,12737,0,0,12737,current,1,Sep-Dec,2018,1,Sep-Dec,2018,outofcamp
Ghana,94,GHA,GH,,Upper West,1331,GHA031,GH31,,,,,830860,1,722848,99703,8309,0,0,8309,current,2,Jan-May,2018,2,Jan-May,2018,outofcamp
Ghana,94,GHA,GH,,Upper West,1331,GHA031,GH31,,,,,849123,1,730246,110386,8491,0,0,8491,current,1,Sep-Dec,2018,1,Sep-Dec,2018,outofcamp
Ghana,94,GHA,GH,,Volta,1332,GHA032,GH32,,,,,2551937,1,2271224,280713,0,0,0,0,current,2,Jan-May,2018,2,Jan-May,2018,outofcamp
Ghana,94,GHA,GH,,Volta,1332,GHA032,GH32,,,,,2607996,1,2347196,260800,0,0,0,0,current,1,Sep-Dec,2018,1,Sep-Dec,2018,outofcamp
Ghana,94,GHA,GH,,Western,1333,GHA033,GH33,,,,,3026715,1,2633242,393473,0,0,0,0,current,2,Jan-May,2018,2,Jan-May,2018,outofcamp
Ghana,94,GHA,GH,,Western,1333,GHA033,GH33,,,,,3093201,1,2783881,309320,0,0,0,0,current,1,Sep-Dec,2018,1,Sep-Dec,2018,outofcamp
Ghana,94,GHA,GH,,Ashanti,1324,GHA024,GH24,,,,,5667680,1,5157589,510091,0,0,0,0,projected,2,Jan-May,2018,3,Jun-Aug,2018,outofcamp
Ghana,94,GHA,GH,,Ashanti,1324,GHA024,GH24,,,,,5533011,1,5090370,387311,55330,0,0,55330,projected,1,Sep-Dec,2017,3,Jun-Aug,2018,outofcamp
Ghana,94,GHA,GH,,Brong Ahafo,1325,GHA025,GH25,,,,,2789332,1,2510399,278933,0,0,0,0,projected,2,Jan-May,2018,3,Jun-Aug,2018,outofcamp
Ghana,94,GHA,GH,,Brong Ahafo,1325,GHA025,GH25,,,,,2723050,1,2450745,245074,27230,0,0,27230,projected,1,Sep-Dec,2017,3,Jun-Aug,2018,outofcamp
Ghana,94,GHA,GH,,Central,1326,GHA026,GH26,,,,,2492593,1,2143630,324037,24926,0,0,24926,projected,2,Jan-May,2018,3,Jun-Aug,2018,outofcamp
