Region,Avg Impact Per Year - Flooded Area
Offinso North,0.0
Asikuma / Odoben / Brakwa,0.0
Jaman South,0.0
Assin South,0.0
Asunafo South,0.0
Sekyere Kumawu,0.0
Kwabre,0.0
Sunyani Municipal,0.0
Techiman Municipal,0.0
Sunyani West,0.0
Tano North,0.0
Bia East,0.0
Bia West,0.0
Tano South,0.0
Kadjebi,0.0
Jasikan,0.0
Bodi,0.0
Kma,0.0
Mampong Municipal,0.0
Asokore Mampong Municipal,0.0
Jaman North,0.0
Nkoranza South,0.0
Akwapem North,0.0
Agona West,0.0
Dormaa East,0.0
Techiman North,0.0
Dormaa West,0.0
Offinso Municipal,0.0
Ga East,0.0
Upper West Akim,0.0005
New Juaben Municipal,0.0005
Nkoranza North,0.0005
Juabeso,0.0005
Asunafo North,0.0005
Sekyere South,0.0005
Hohoe Municipal,0.0006666666666666666
Suhum Municipal,0.0006666666666666666
Ayensuano,0.001
Akyem Mansa,0.0011666666666666665
Sefwi Akontombra,0.0011666666666666665
Sefwi-Wiawso,0.0015
Asutifi South,0.0015
Dormaa Municipal,0.002
Sekyere East,0.002
Adansi North,0.002
Suaman,0.002
Berekum,0.0026666666666666666
Ashaiman,0.0026666666666666666
Asante Akim South,0.0028333333333333335
Ahafo Ano North,0.003
Ho Municipal,0.0031666666666666666
Wenchi,0.0031666666666666666
La Nkwantanang Madina,0.0031666666666666666
Nsawam Adoagyiri,0.003666666666666666
Birim South,0.004166666666666667
Ho West,0.004166666666666667
Sekyere Central,0.0045
Akwapem South,0.0045000000000000005
Sekyere Afram Plains North,0.004666666666666666
Ejura Sekye Dumase,0.004666666666666666
Twifo Lower Denkyira,0.0051666666666666675
Ejisu Juaben,0.005333333333333333
Mpohor,0.0061666666666666675
Ahafo Ano South,0.006999999999999999
Agotime Ziope,0.007
Bosome Freho,0.008
Bekwai Municipal,0.008333333333333331
East Akim,0.010666666666666666
Tain,0.013
Sagnerigu,0.014
Ga West,0.014499999999999999
Agona East,0.014666666666666668
Ledzokuku / Krowor,0.015166666666666667
Asante Akim Central Municipal,0.0165
Sekondi Takoradi,0.017166666666666667
Kwaebibirem,0.018000000000000002
Atwima Kwanwoma,0.022166666666666668
Abura / Asebu / Kwamankese,0.022333333333333334
Kwahu East,0.0235
La Dade Kotopon,0.026166666666666664
Akatsi North,0.027500000000000004
Awutu Senya East Municipal,0.029666666666666664
Afigya Kwabre,0.030333333333333334
Adaklu,0.03383333333333333
Kintampo South,0.03966666666666667
Kwahu West,0.049833333333333334
Nabdam,0.0535
Denkyembour,0.054000000000000006
Birim Municipal,0.05616666666666667
Yilo Krobo,0.06516666666666666
Ajumako / Enyan / Esiam,0.06666666666666667
Accra Metropolis,0.068
Awutu Senya West,0.07166666666666666
Adenta,0.07683333333333334
Gushiegu,0.08416666666666668
Atebubu Amantin,0.095
Gomoa East,0.0965
Pusiga,0.09966666666666667
Upper Denkyira East,0.12466666666666665
Ellembelle,0.127
West Akim,0.13216666666666668
Daffiama Bussie,0.14733333333333334
Obuasi Municipal,0.14850000000000002
Wa Municipal,0.15883333333333335
Birim North,0.16116666666666668
Bolgatanga Municipal,0.17149999999999996
Sefwi Bibiani / Anhwiaso Bekwai,0.17216666666666666
Atiwa,0.1745
Adansi South,0.1815
Bawku Municipal,0.18200000000000002
Wassa Amenfi West,0.19116666666666665
Lambussie Karni,0.22983333333333333
Tema Metropolis,0.23583333333333334
Aowin,0.24183333333333332
Amansie Central,0.24616666666666667
Cape Coast Metro,0.2725
Wassa Amenfi East,0.3478333333333333
Asutifi North,0.35200000000000004
Wassa Amenfi Central,0.36733333333333335
Mfantsiman,0.38433333333333336
Bunkpurugu Yonyo,0.3995
Sissala East,0.4008333333333333
Atwima Mponua,0.4008333333333333
Sissala  West,0.43683333333333335
Tarkwa Nsuaem,0.4708333333333333
Assin North,0.4925
Komenda Edna Eguafo / Abirem,0.5015000000000001
Tatale,0.5206666666666667
Tamale North Sub Metro,0.5286666666666666
Effutu,0.5453333333333333
Prestea / Huni Valley,0.5485
Nzema East,0.5673333333333334
Ahanta West,0.5736666666666668
Wa East,0.6
Upper Denkyira West,0.6355000000000001
Ga Central Municipal,0.6418333333333333
Twifo Ati-Morkwa,0.6498333333333333
Kpone Katamanso,0.6581666666666667
Garu Tempane,0.744
Atwima Nwabiagya,0.7498333333333332
Amansie West,0.7765
Gomoa West,0.8070000000000002
Jirapa,0.8298333333333333
Talensi,0.8311666666666666
Shama,0.8403333333333333
Nandom,1.0201666666666667
Mion,1.0756666666666668
Mamprusi East,1.0775
Nadowli / Kaleo,1.2613333333333332
Akatsi South,1.2678333333333336
Wassa East,1.2778333333333334
West Gonja,1.2984999999999998
Sawla / Tuna / Kalba,1.4178333333333335
Builsa South,1.4393333333333334
Ekumfi,1.4565
Lawra,1.4863333333333335
Bawku West,1.5036666666666667
Ketu North,1.5641666666666665
Zabzugu,1.8146666666666667
Binduri,1.8186666666666667
Yendi Municipal,2.0316666666666667
Builsa North,2.1264999999999996
Ningo Prampram,2.3
Bongo,2.370166666666667
Chereponi,2.6108333333333333
Central Tongu,2.617666666666667
Wa West,2.698833333333334
Jomoro,2.9298333333333337
