Region,Avg Impact Per Year - Roads
Abura / Asebu / Kwamankese,0.0
Juabeso,0.0
Suaman,0.0
Suhum Municipal,0.0
Jasikan,0.0
Jaman South,0.0
Jaman North,0.0
Ho West,0.0
Ho Municipal,0.0
Gushiegu,0.0
Sunyani Municipal,0.0
Sunyani West,0.0
Kadjebi,0.0
Tain,0.0
Ga Central Municipal,0.0
Ejura Sekye Dumase,0.0
Ejisu Juaben,0.0
Tano North,0.0
East Akim,0.0
Dormaa West,0.0
Nkoranza South,0.0
Dormaa East,0.0
Tano South,0.0
Tatale,0.0
Techiman North,0.0
Ga East,0.0
South Dayi,0.0
Sissala  West,0.0
Yilo Krobo,0.0
Nkoranza North,0.0
North Dayi,0.0
New Juaben Municipal,0.0
Nsawam Adoagyiri,0.0
Obuasi Municipal,0.0
Offinso Municipal,0.0
Offinso North,0.0
Nabdam,0.0
Mpohor,0.0
Mampong Municipal,0.0
Pusiga,0.0
Ledzokuku / Krowor,0.0
Sagnerigu,0.0
La Nkwantanang Madina,0.0
La Dade Kotopon,0.0
Kwahu West,0.0
Kwahu East,0.0
Sefwi Akontombra,0.0
Sefwi-Wiawso,0.0
Kwabre,0.0
Sekyere East,0.0
Sekyere Kumawu,0.0
Sekyere South,0.0
Kma,0.0
Kintampo South,0.0
Bodi,0.0
Birim South,0.0
Dormaa Municipal,0.0
Birim Municipal,0.0
Upper West Akim,0.0
Atebubu Amantin,0.0
Asunafo South,0.0
Asunafo North,0.0
Assin South,0.0
Asokore Mampong Municipal,0.0
Asikuma / Odoben / Brakwa,0.0
Asante Akim South,0.0
Asante Akim North,0.0
Akyem Mansa,0.0
Akwapem South,0.0
Akwapem North,0.0
Ahafo Ano North,0.0
Agotime Ziope,0.0
Agona West,0.0
Agona East,0.0
Afigya Kwabre,0.0
Afadzato South,0.0
Adansi North,0.0
Adaklu,0.0
Wassa East,0.0
Wenchi,0.0
West Akim,0.0
Atwima Kwanwoma,0.0
Atwima Nwabiagya,0.0
Ashaiman,0.0
Berekum,0.0
Twifo Lower Denkyira,0.0
Biakoye,0.0
Bawku Municipal,0.0
Bia East,0.0
Bekwai Municipal,0.0
Ayensuano,0.0
Bia West,0.0
Asante Akim Central Municipal,0.5
Awutu Senya East Municipal,0.5
Lambussie Karni,0.5
Asutifi South,0.5
Ahafo Ano South,0.6666666666666666
Sene West,0.8
Akatsi South,1.0
Builsa South,1.0
Techiman Municipal,1.0
Hohoe Municipal,1.5
Awutu Senya West,1.8333333333333333
Sekyere Central,2.0
Wassa Amenfi West,2.0
Kwaebibirem,2.0
Denkyembour,2.0
Nkwanta South,2.5
Ga West,2.5
