Region,02Year,05Year,10Year,15Year,20Year
Abura / Asebu / Kwamankese,0.0,0.0,0.0,0.0,0.0
Accra Metropolis,2.2327725262241856e-05,0.00019387000471605124,0.00043947498260071165,0.0005832437501429519,0.0006948823764541612
Ada East,0.0,0.0009373388948774429,0.0026948493227726485,0.0038430894689975162,0.004803861836246895
Ada West,0.00024819712367111124,0.005294871971650373,0.0090729837430884,0.01104477200336445,0.013637053072818279
Adaklu,0.0,0.0,0.0,0.0,0.0
Adansi North,0.0,0.0,0.0,0.0,0.0
Adansi South,0.0,0.0,0.0,0.0001421841379375717,0.0001421841379375717
Adenta,0.0,0.0,5.171566726139684e-05,5.171566726139684e-05,5.171566726139684e-05
Afadzato South,0.0,0.0,0.0,0.0,0.0
Afigya Kwabre,0.0,0.0,0.0,0.0,0.0
Agona East,0.0,0.0,0.0,0.00012010569300984866,0.00012010569300984866
Agona West,0.0,0.0,0.0,0.0,0.0
Agotime Ziope,0.0,0.0,0.0,0.0,0.0
Ahafo Ano North,0.0,0.0,0.0,0.0,0.0
Ahafo Ano South,0.0,0.0,0.0,0.0,0.0
Ahanta West,0.0,0.0,0.000318971016741668,0.000318971016741668,0.000318971016741668
Ajumako / Enyan / Esiam,0.0,0.0,0.0,0.0,0.0
Akatsi North,0.0,0.0,0.0,0.0,0.0
Akatsi South,0.0,0.0,0.0,0.0,7.565949862972242e-05
Akwapem North,0.0,0.0,0.0,0.0,0.0
Akwapem South,0.0,0.0,0.0,0.0,0.0
Akyem Mansa,0.0,0.0,0.0,0.0,0.0
Amansie Central,0.0,0.0,0.00044004400440044003,0.0005133846718005134,0.0016134946828016135
Amansie West,0.0,0.0,0.0004124197254462971,0.0008117467611958863,0.001420556832092801
Aowin,0.0,0.0,0.00016251060833137718,0.00016251060833137718,0.00025279427962658673
Asante Akim Central Municipal,0.0,0.0,0.0,0.00010088145168408973,0.0001387119960656234
Asante Akim North,0.0,0.0,0.0,0.0,0.0
Asante Akim South,0.0,0.0,0.0,0.0,0.0
Ashaiman,0.0,0.0,0.0,0.0,0.0
Asikuma / Odoben / Brakwa,0.0,0.0,0.0,0.0,0.0
Asokore Mampong Municipal,0.0,0.0,0.0,0.0,0.0
Assin North,0.0,0.0,0.0,0.0,0.0
Assin South,0.0,0.0,0.0,0.0,0.0
Asunafo North,0.0,0.0,0.0,0.0,0.0
Asunafo South,0.0,0.0,0.0,0.0,0.0
Asuogyaman,0.0,0.00019747978183186007,0.00039495956366372015,0.000470189956742524,0.0007334963325183374
Asutifi North,0.0,0.0,0.0,0.0,0.0
Asutifi South,0.0,0.0,0.0,0.0,0.0
Atebubu Amantin,0.0,0.0,0.0,0.0,0.0
Atiwa,0.0,0.0,0.0001315251066814754,0.0001315251066814754,0.00039457532004442627
Atwima Kwanwoma,0.0,0.0,0.0,0.0,0.0
Atwima Mponua,0.0,0.0,0.0001295784381478922,0.0002591568762957844,0.000647892190739461
Atwima Nwabiagya,0.0,0.0,0.0,0.0,0.0
