Region,Avg Impact Per Year - Pop,Avg Impact Per Year - Crops,Avg Impact Per Year - Roads,Avg Impact Per Year - Flooded Area,Avg Impact Per Year - Markets,Avg Impact Per Year - Hospitals,Avg Impact Per Year - Schools
Gonja Central,365.6833333333333,1.0493333333333332,148.16666666666669,66.30900000000001,0.0,0.0,0.0
Ga South,276.3666666666666,0.16533333333333336,2035.0666666666668,12.120499999999998,0.0,0.0,0.0
East Gonja,257.98333333333335,6.930666666666666,398.1,198.75233333333333,0.0,0.0,0.0
Accra Metropolis,156.45,0.0005,36.86666666666667,0.068,0.0,0.0,0.0
Keta Municipal,140.96666666666667,0.20283333333333334,4728.666666666667,58.48466666666667,0.25,0.0,0.2
Ada West,128.53333333333333,1.5825,645.6666666666666,19.209333333333333,0.0,0.0,0.0
Komenda Edna Eguafo / Abirem,113.46666666666668,0.0006666666666666666,96.33333333333331,0.5015000000000001,0.0,0.0,0.0
Ketu South,63.3,0.8341666666666666,2391.5,8.940999999999997,0.0,0.0,0.1
Sene East,48.7,1.3731666666666666,447.4,386.7218333333333,0.0,0.0,0.0
Ada East,41.63333333333333,0.5938333333333333,396.5,15.097666666666667,0.0,0.0,0.0
Krachi Nchumuru,39.933333333333344,1.2846666666666666,8620.800000000001,85.23166666666667,0.0,0.0,0.0
Kwahu Afram Plains North,37.25,2.690166666666667,368.66666666666674,521.9575000000002,0.0,0.0,0.0
Krachi East,30.666666666666664,1.5915,231.66666666666663,392.6415,0.0,0.0,0.0
Jomoro,29.4,0.01983333333333333,172.23333333333332,2.9298333333333337,0.0,0.0,0.0
Ekumfi,23.833333333333336,0.105,3.5,1.4565,0.0,0.0,0.0
Kpandai,23.46666666666667,2.3025,2980.866666666667,67.74783333333333,0.0,0.0,0.0
Kwahu Afram Plains South,20.05,1.3165,153.5,228.361,0.0,0.0,0.0
Krachi West,19.45,0.7446666666666666,407.0,266.27149999999995,0.0,0.0,0.0
Amansie West,15.016666666666667,0.08766666666666666,34.16666666666667,0.7765,0.0,0.0,0.0
Shama,13.500000000000002,0.007166666666666668,20.0,0.8403333333333333,0.0,0.0,0.0
West Mamprusi,11.966666666666667,7.509499999999999,805.1833333333334,13.546666666666665,0.0,0.0,0.0
Kintampo North,11.65,1.6273333333333333,304.36666666666673,9.772666666666666,0.0,0.0,0.0
South Dayi,10.966666666666667,0.0555,0.0,59.26433333333333,0.0,0.0,0.0
Cape Coast Metro,10.633333333333333,0.0005,28.0,0.2725,0.0,0.0,0.0
Mfantsiman,10.15,0.015500000000000003,29.0,0.38433333333333336,0.0,0.0,0.0
Central Tongu,9.35,0.0855,32.5,2.617666666666667,0.0,0.0,0.0
Nkwanta South,9.2,0.13133333333333336,2.5,18.416500000000006,0.0,0.0,0.0
Asuogyaman,8.233333333333334,0.059833333333333336,193.0,130.05550000000002,0.0,0.0,0.0
Sene West,8.0,0.38316666666666666,0.8,67.85133333333333,0.0,0.0,0.0
South Tongu,6.300000000000002,0.12633333333333335,118.5,5.158333333333333,0.0,0.0,0.0
Twifo Ati-Morkwa,5.8500000000000005,0.009666666666666669,15.5,0.6498333333333333,0.0,0.0,0.0
Atwima Mponua,5.7,0.061166666666666675,119.16666666666669,0.4008333333333333,0.0,0.0,0.0
Amansie Central,5.666666666666666,0.013833333333333331,4.0,0.2461666666666667,0.0,0.0,0.0
Upper Denkyira West,5.0,0.033,265.0,0.6355000000000001,0.0,0.0,0.0
Pru,4.05,3.462833333333333,58.7,92.71266666666666,0.0,0.0,0.0
Savelugu Nanton,4.0,7.578333333333332,647.7833333333333,10.947833333333335,0.0,0.0,0.0
