Region,Total_Flood_Risk,Treatment
Saboba,0.04459446777561342,1
Agona West,0.03503581929775057,1
Karaga,0.033615105142263194,1
West Mamprusi,0.02988694164477821,1
Chereponi,0.025467691420866887,1
Binduri,0.02491589164383156,1
Mamprugu Moagduri,0.02307038538788877,1
Savelugu Nanton,0.022044420909278984,1
Kumbumgu,0.021834028966108875,1
Gonja Central,0.018572590528327056,1
Bawku West,0.015314387469735118,1
Tatale,0.0143667852153017,1
Garu Tempane,0.013540646961226392,1
Talensi,0.012763101929811215,1
Tolon,0.012482220507397376,1
Sene West,0.012222181620710525,1
Kasena Nankana East,0.011997659685689714,1
Ada West,0.011930988170929174,1
Shama,0.010797098013914477,1
Ahanta West,0.010486519623983823,1
Krachi East,0.010331884445360519,1
Cape Coast Metro,0.010002613699956867,1
East Gonja,0.009968324824978003,1
Gomoa West,0.009468183194534003,1
Yendi Municipal,0.009285338794556048,1
Sene East,0.009248128397841282,1
Mamprusi East,0.008810159056110746,1
Pusiga,0.008537655759575775,1
Ellembelle,0.008394194182663108,1
Bawku Municipal,0.008290893069115249,1
Krachi West,0.00820485577520656,0
Ada East,0.008099283460862819,0
Wassa East,0.007956851335254315,0
Gushiegu,0.00783799754044065,0
Nkwanta North,0.007769057503766125,0
Builsa South,0.007251286513866925,0
Kwahu Afram Plains North,0.0070720686731915155,0
Upper Denkyira West,0.006849637963198172,0
Sekondi Takoradi,0.006830039493356078,0
Nzema East,0.006284153154791705,0
Bunkpurugu Yonyo,0.006207558528764064,0
Tamale North Sub Metro,0.006100494086448438,0
North Gonja,0.005638578813355128,0
Zabzugu,0.005504823458988736,0
Tarkwa Nsuaem,0.004863710640512388,0
Birim Municipal,0.004814830997975487,0
Afadzato South,0.004768369707306898,0
Krachi Nchumuru,0.0047166164506593,0
Bolgatanga Municipal,0.004540107583922265,0
Bodi,0.004361539041916938,0
Sekyere East,0.004205151310355186,0
Nkwanta South,0.004140047556424048,0
Nanumba South,0.003980349835860446,0
Juabeso,0.003914218908077433,0
East Akim,0.003894098603541261,0
Kwaebibirem,0.00384324688021576,0
Birim North,0.0037081029176430722,0
South Tongu,0.0036902674202811503,0
Jomoro,0.00360362766761521,0
Central Tongu,0.003419621187717166,0
Nanumba North,0.003416449453146993,0
Adansi South,0.003176104085194404,0
Wassa Amenfi East,0.003133512516206877,0
North Tongu,0.0031215042171102605,0
Aowin,0.0030454659288119863,0
Kpone Katamanso,0.002918173557058836,0
Birim South,0.0029106788227228012,0
