Region,Perc Flooded
Agona West,0.05251468576486682
Komenda Edna Eguafo / Abirem,0.03502947812348229
Gonja Central,0.025551831003731578
La Dade Kotopon,0.02004614721468597
Karaga,0.01881746666926936
Sene West,0.01796891377916205
Saboba,0.017580599291605263
Ahanta West,0.015577854790599838
Shama,0.01536404618927088
Cape Coast Metro,0.0150039205499353
Krachi East,0.013947126488328812
Gomoa West,0.013889926627714102
Ada West,0.013471588323704204
Sene East,0.013422637534771922
Ellembelle,0.012572947362338938
Wassa East,0.011857234110507825
East Gonja,0.011640844040663484
Ekumfi,0.011534996381467204
Krachi West,0.01147496894330392
Mfantsiman,0.010714966894635023
Bawku West,0.010265375194381485
Sekondi Takoradi,0.010245059240034115
Ada East,0.010216993954164129
Upper Denkyira West,0.009985245681753827
Nzema East,0.009278968360577818
Nkwanta North,0.008876293679229973
Gushiegu,0.008458929108162651
Garu Tempane,0.008335697296353677
Kwahu Afram Plains North,0.008163644569517084
Yendi Municipal,0.008060362229059068
Effutu,0.007779641650256485
Pusiga,0.007429815667436797
Birim Municipal,0.0071615131856095715
Tarkwa Nsuaem,0.007092617767007506
Mamprusi East,0.006743445386657945
Sekyere East,0.0063077269655327775
Juabeso,0.005846784268652241
East Akim,0.005776075935713516
Kwaebibirem,0.005751855926403964
Krachi Nchumuru,0.0057376652302328955
Bodi,0.0056051990251827786
Chereponi,0.0054446460980036296
Jomoro,0.00538355750846946
North Gonja,0.005364872279461074
Birim North,0.005353748680042239
West Mamprusi,0.005232121938056941
Adansi South,0.004692076551939865
Wassa Amenfi East,0.004596153622952913
Aowin,0.0044690417291128725
Birim South,0.004338254338254338
Mamprugu Moagduri,0.0041116005873715125
Adansi North,0.00408021787571181
Asikuma / Odoben / Brakwa,0.004010982451951773
Ajumako / Enyan / Esiam,0.003993747882778745
Nanumba South,0.003908357659689268
Obuasi Municipal,0.0037172322749064487
Kumbumgu,0.0037059024592080883
Suaman,0.0036505332239540607
Sagnerigu,0.0036118811881188117
Savelugu Nanton,0.003584333163478019
Ga South,0.0035544811931975586
Nkwanta South,0.0035533898853849642
Keta Municipal,0.003549866556111212
Bunkpurugu Yonyo,0.0035481047599811486
Atiwa,0.0034854153270590985
Asuogyaman,0.0034229828850855745
Binduri,0.003411971144472607
West Akim,0.003407141682266415
Kpone Katamanso,0.0033360997886319127
Asunafo North,0.0032875611034146133
Amansie Central,0.003171983865053172
Kpandai,0.0030971988095142076
Asutifi South,0.00303146451095857
South Tongu,0.0028924833491912466
Mpohor,0.0028107691035851082
Amansie West,0.0028018355950954785
Wa East,0.0027946576544373315
Upper West Akim,0.002720754555930178
Sefwi-Wiawso,0.0027204863031975476
Akyem Mansa,0.002677161138328916
Assin North,0.0026682711172731316
North Tongu,0.002599964138425677
Kwahu Afram Plains South,0.0025920613800134787
Zabzugu,0.002589799964929792
Kasena Nankana East,0.002584605443825216
Bolgatanga Municipal,0.002522840599948621
